Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Steven Adams,25.3,OKC,Big,159,55,1.5%,75,1.4%,98,2.5%,63,7.3%,18,14.4%,100,20.0%,0,0.0%
LaMarcus Aldridge,33.3,SAS,Big,243,53,1.5%,38,0.9%,50,3.9%,70,7.9%,57,17.4%,0,0.0%,75,35.3%
Jarrett Allen,20.5,BKN,Big,110,38,1.3%,48,1.1%,40,4.3%,80,11.3%,38,15.5%,0,0.0%,88,50.0%
Al-Farouq Aminu,28.1,POR,Big,399,43,1.3%,40,1.0%,80,3.1%,55,7.0%,63,17.8%,0,0.0%,38,17.6%
Giannis Antetokounmpo,23.9,MIL,Forward,513,100,2.9%,45,1.4%,27,3.2%,91,7.2%,100,24.4%,0,0.0%,73,37.5%
D.J. Augustin,31.0,ORL,Point,140,43,0.4%,0,0.7%,100,2.0%,14,0.7%,0,4.2%,0,0.0%,93,40.0%
Will Barton,27.8,DEN,Wing,320,91,1.4%,15,0.5%,79,2.3%,88,4.2%,82,13.8%,0,0.0%,88,23.8%
Aron Baynes,31.9,BOS,Big,115,40,1.3%,53,1.2%,8,6.7%,38,5.0%,20,14.5%,0,0.0%,23,14.3%
Malik Beasley,21.9,DEN,Wing,265,27,0.2%,12,0.5%,64,2.9%,76,3.2%,79,13.5%,0,0.0%,82,20.0%
Marco Belinelli,32.6,SAS,Wing,130,67,0.7%,0,0.0%,73,2.4%,0,0.0%,33,9.7%,0,0.0%,0,0.0%
Patrick Beverley,30.3,LAC,Combo,194,94,1.3%,50,1.3%,22,4.0%,83,3.8%,100,24.1%,0,0.0%,0,0.0%
Eric Bledsoe,28.9,MIL,Point,422,71,0.7%,79,1.6%,93,2.4%,100,4.1%,36,7.4%,79,5.6%,71,5.9%
Bojan Bogdanovic,29.5,IND,Forward,147,0,0.0%,100,2.5%,91,1.9%,18,2.0%,36,13.5%,0,0.0%,91,42.9%
Andrew Bogut,33.9,GSW,Big,178,60,1.7%,60,1.2%,0,8.2%,88,13.4%,98,26.3%,0,0.0%,95,63.6%
Malcolm Brogdon,25.9,MIL,Combo,194,0,0.0%,39,1.2%,56,3.3%,67,3.4%,78,12.4%,0,0.0%,67,9.1%
Jaylen Brown,22.0,BOS,Wing,269,39,0.4%,58,1.0%,12,4.2%,61,2.3%,94,15.7%,0,0.0%,73,16.7%
Sterling Brown,23.7,MIL,Wing,138,88,1.0%,67,1.3%,36,3.5%,73,3.0%,88,14.8%,0,0.0%,0,0.0%
Jimmy Butler,29.1,PHI,Forward,421,45,0.8%,73,1.7%,100,1.3%,55,5.3%,9,11.6%,73,4.8%,0,0.0%
Clint Capela,24.5,HOU,Big,330,65,1.8%,8,0.4%,75,3.3%,90,13.4%,78,19.9%,0,0.0%,50,21.1%
DeMarre Carroll,32.3,BKN,Forward,119,0,0.0%,36,1.4%,64,2.8%,45,4.3%,0,11.5%,0,0.0%,45,14.3%
Zach Collins,21.0,POR,Big,268,95,4.1%,55,1.2%,5,7.5%,35,5.0%,5,12.2%,95,11.8%,70,31.3%
Darren Collison,31.2,IND,Point,116,0,0.0%,14,0.8%,36,3.4%,79,3.2%,21,7.3%,0,0.0%,0,0.0%
Pat Connaughton,25.8,MIL,Wing,294,100,2.2%,27,0.7%,94,1.6%,64,2.3%,100,21.6%,0,0.0%,0,0.0%
Quinn Cook,25.6,GSW,Point,178,29,0.3%,7,0.7%,71,2.7%,7,0.6%,29,7.4%,93,14.3%,0,0.0%
DeMarcus Cousins,28.2,GSW,Big,133,80,2.4%,80,1.6%,20,6.5%,45,6.2%,68,19.2%,0,0.0%,98,100.0%
Torrey Craig,27.9,DEN,Wing,326,70,0.8%,55,1.0%,9,5.2%,94,6.8%,61,12.7%,0,0.0%,97,45.0%
Jae Crowder,28.3,UTA,Big,130,0,0.0%,83,1.6%,100,2.0%,8,2.7%,55,16.9%,0,0.0%,83,44.4%
Seth Curry,28.2,POR,Wing,319,58,0.6%,73,1.4%,30,3.7%,36,1.6%,6,5.6%,0,0.0%,30,6.3%
Stephen Curry,30.6,GSW,Point,845,21,0.2%,50,1.2%,57,3.0%,57,2.1%,86,13.7%,71,2.4%,50,2.6%
DeMar DeRozan,29.2,SAS,Wing,248,30,0.2%,82,1.5%,67,2.8%,79,3.6%,64,12.8%,100,18.2%,100,50.0%
Spencer Dinwiddie,25.6,BKN,Combo,131,0,0.0%,11,0.6%,78,2.8%,50,2.7%,0,4.6%,0,0.0%,83,30.0%
Andre Drummond,25.2,DET,Big,127,75,2.0%,95,1.9%,45,4.2%,85,12.1%,100,26.7%,0,0.0%,93,62.5%
Kevin Durant,30.1,GSW,Forward,441,82,1.4%,27,1.3%,36,3.2%,0,0.2%,27,12.9%,0,0.0%,18,9.5%
Wayne Ellington,30.9,DET,Wing,128,0,0.0%,52,1.0%,100,1.3%,52,1.9%,48,10.5%,0,0.0%,0,0.0%
Joel Embiid,24.6,PHI,Big,334,93,3.8%,35,0.9%,55,3.8%,60,7.1%,93,23.7%,0,0.0%,78,37.5%
James Ennis,28.3,PHI,Wing,224,61,0.7%,39,0.8%,6,5.2%,97,7.5%,42,10.4%,0,0.0%,73,16.7%
Derrick Favors,27.3,UTA,Big,103,100,4.8%,90,1.7%,30,4.7%,98,14.7%,70,19.4%,0,0.0%,60,28.6%
Terrance Ferguson,20.5,OKC,Wing,124,0,0.0%,21,0.7%,3,5.9%,48,1.7%,15,7.8%,0,0.0%,0,0.0%
Bryn Forbes,25.3,SAS,Combo,207,28,0.2%,0,0.2%,89,2.7%,0,0.5%,61,11.4%,0,0.0%,0,0.0%
Evan Fournier,26.0,ORL,Wing,172,0,0.0%,91,1.8%,55,3.2%,45,1.6%,18,8.0%,0,0.0%,0,0.0%
Danilo Gallinari,30.2,LAC,Big,201,8,0.2%,88,1.6%,90,2.7%,25,4.5%,30,15.1%,0,0.0%,0,0.0%
Marc Gasol,33.8,TOR,Big,733,70,1.9%,73,1.3%,25,4.8%,3,2.3%,65,18.8%,0,0.0%,45,20.0%
Rudy Gay,32.2,SAS,Forward,176,73,1.4%,9,0.8%,45,3.2%,100,7.9%,82,20.0%,0,0.0%,27,12.5%
Paul George,28.5,OKC,Wing,203,36,0.2%,70,1.3%,18,4.0%,67,2.5%,97,17.1%,94,8.3%,58,12.5%
Shai Gilgeous-Alexander,20.3,LAC,Point,170,100,1.5%,57,1.5%,14,4.3%,43,1.8%,7,6.8%,86,10.0%,86,33.3%
Rudy Gobert,26.3,UTA,Big,152,98,4.5%,33,0.8%,65,3.6%,93,14.2%,33,15.4%,0,0.0%,88,50.0%
