Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Ray Allen,32.3,BOS,Wing,984,73,-3.4%,75,-6.3%,89,-11.2%,75,-5.0%,89,-7.3%,76,-10.5%,24,+7.5%,30,+4.3%
Rafer Alston,31.3,HOU,Point,125,46,+0.9%,61,-3.4%,85,-10.3%,5,+14.5%,16,+6.7%,0,+62.5%,80,-10.4%,48,-0.4%
Carmelo Anthony,23.4,DEN,Forward,146,83,-4.8%,86,-9.9%,8,+15.1%,100,-22.5%,66,-1.5%,57,-2.9%,60,-4.6%,60,-4.0%
Leandro Barbosa,24.9,PHX,Combo,137,12,+4.9%,2,+15.7%,54,-2.1%,42,+1.6%,53,-0.0%,83,-15.0%,68,-6.7%,79,-8.6%
Andrea Bargnani,22.0,TOR,Big,103,4,+8.5%,0,+17.2%,17,+9.4%,82,-6.1%,30,+3.0%,41,+4.6%,49,-2.6%,46,+0.4%
Brent Barry,35.8,SAS,Wing,190,43,+1.3%,60,-3.4%,6,+16.9%,83,-6.2%,34,+2.8%,58,-3.0%,32,+4.3%,40,+2.2%
Brandon Bass,22.5,DAL,Big,131,39,+1.6%,58,-3.2%,57,-3.5%,85,-7.5%,83,-5.9%,11,+37.8%,12,+12.7%,4,+20.4%
Shane Battier,29.1,HOU,Forward,245,85,-6.1%,83,-8.4%,75,-7.7%,16,+7.6%,50,+0.2%,20,+16.7%,91,-16.1%,83,-10.4%
Raja Bell,31.1,PHX,Wing,212,6,+7.9%,30,+2.4%,89,-11.4%,1,+28.9%,5,+10.5%,60,-3.3%,23,+7.8%,26,+5.3%
Mike Bibby,29.5,ATL,Point,250,34,+2.3%,50,-1.3%,59,-3.8%,24,+6.8%,39,+1.9%,2,+57.1%,69,-7.3%,27,+5.1%
Chauncey Billups,31.1,DET,Point,479,63,-1.6%,43,+0.7%,42,+0.2%,27,+5.8%,25,+3.8%,70,-7.7%,61,-4.7%,67,-5.5%
Keith Bogans,27.5,ORL,Wing,291,81,-4.6%,57,-3.1%,67,-5.9%,90,-10.7%,94,-8.9%,48,+1.2%,33,+3.9%,38,+2.7%
Carlos Boozer,25.9,UTA,Big,440,44,+1.2%,2,+16.8%,56,-3.3%,80,-5.9%,80,-4.9%,87,-18.3%,71,-7.8%,88,-11.2%
Chris Bosh,23.6,TOR,Big,198,2,+11.7%,36,+1.2%,43,0.0%,52,0.0%,43,+0.9%,15,+26.4%,11,+15.2%,6,+19.9%
Bruce Bowen,36.4,SAS,Wing,505,70,-3.2%,64,-3.8%,84,-10.1%,36,+3.5%,67,-2.2%,17,+22.2%,90,-14.5%,57,-3.3%
Ronnie Brewer,22.6,UTA,Wing,304,18,+4.5%,12,+8.9%,68,-6.0%,11,+10.6%,30,+3.1%,46,+2.9%,34,+3.5%,32,+3.7%
P.J. Brown,38.0,BOS,Big,329,17,+4.5%,11,+10.2%,7,+15.5%,67,-3.4%,25,+3.8%,43,+3.6%,46,-1.7%,48,-0.7%
Kobe Bryant,29.2,LAL,Wing,859,54,-0.4%,51,-1.8%,19,+8.5%,15,+9.7%,7,+9.3%,92,-24.9%,48,-2.1%,76,-7.2%
Caron Butler,27.6,WAS,Wing,245,93,-9.4%,3,+14.6%,96,-22.2%,99,-19.0%,100,-20.1%,67,-5.9%,97,-24.3%,97,-16.1%
Jose Calderon,26.1,TOR,Point,118,93,-9.6%,96,-17.2%,43,0.0%,29,+5.5%,35,+2.7%,77,-12.6%,45,-1.7%,74,-6.2%
Marcus Camby,33.6,DEN,Big,123,11,+5.5%,78,-6.8%,11,+13.1%,2,+18.4%,0,+16.1%,57,-2.9%,59,-4.5%,57,-3.3%
Sam Cassell,38.0,BOS,Combo,259,77,-3.9%,20,+5.8%,50,-1.4%,68,-3.5%,70,-2.6%,44,+3.2%,86,-12.9%,85,-10.9%
Tyson Chandler,25.1,NOH,Big,409,98,-12.7%,98,-17.7%,100,-26.7%,69,-3.6%,98,-12.3%,40,+4.8%,88,-13.8%,71,-6.0%
Josh Childress,24.4,ATL,Wing,193,76,-3.7%,52,-2.0%,10,+13.1%,72,-4.3%,29,+3.3%,97,-39.7%,70,-7.7%,94,-12.8%
Samuel Dalembert,27.5,PHI,Big,192,25,+3.5%,95,-16.5%,79,-9.0%,19,+7.1%,28,+3.3%,7,+45.5%,2,+24.0%,2,+26.6%
