Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Steven Adams,27.3,NOP,Big,1604,63,+1.7,+4,83,+4.3,92,+3.6%,60,-0.3%,86,+3.0%,5,-5.1,27,+2.7,26,+1.3%,2,-2.9%,85,-2.7%,97,-5.5
LaMarcus Aldridge,35.3,SAS,Big,544,19,-7.0,-17,49,-0.4,54,+0.1%,89,-1.7%,2,-6.6%,49,-0.3,8,+6.6,5,+3.9%,6,-2.3%,75,-1.7%,50,+0.0
LaMarcus Aldridge,35.3,BKN,Big,130,88,+7.7,+17,78,+3.4,83,+2.3%,97,-3.2%,6,-4.8%,0,-11.9,85,-4.3,96,-4.4%,42,-0.3%,9,+3.8%,75,-1.6
Al-Farouq Aminu,30.1,ORL,Forward,366,39,-2.5,-6,24,-4.5,62,+0.7%,17,+1.5%,2,-6.5%,23,-2.2,69,-2.0,51,-0.0%,3,-2.5%,75,-1.7%,79,-2.0
Kyle Anderson,27.1,MEM,Forward,1884,67,+2.9,+7,42,-1.6,50,-0.2%,84,-1.3%,23,-2.2%,68,+1.1,85,-4.4,81,-1.6%,34,-0.5%,70,-1.3%,66,-1.1
Giannis Antetokounmpo,25.9,MIL,Big,2010,93,+9.3,+21,75,+2.7,84,+2.4%,47,+0.1%,26,-1.9%,89,+3.7,93,-6.6,78,-1.5%,38,-0.4%,83,-2.4%,82,-2.3
Thanasis Antetokounmpo,28.3,MIL,Forward,448,23,-6.0,-14,15,-6.5,20,-2.7%,6,+2.7%,90,+3.6%,31,-1.6,57,-0.5,63,-0.6%,95,+2.9%,27,+1.7%,11,+3.9
Carmelo Anthony,36.4,POR,Forward,1671,20,-6.6,-16,42,-1.5,22,-2.5%,54,-0.1%,44,-0.3%,88,+3.4,12,+5.0,42,+0.4%,31,-0.6%,9,+3.9%,14,+3.5
Trevor Ariza,35.3,MIA,Forward,836,68,+3.2,+8,57,+0.6,72,+1.3%,87,-1.5%,4,-5.5%,71,+1.3,75,-2.6,33,+0.8%,98,+3.8%,69,-1.3%,26,+2.2
D.J. Augustin,33.0,MIL,Point,697,47,-1.0,-2,62,+1.1,24,-2.3%,54,-0.1%,68,+1.2%,75,+1.7,31,+2.1,51,-0.0%,23,-1.0%,82,-2.3%,11,+3.9
D.J. Augustin,33.0,HOU,Combo,405,13,-9.4,-13,67,+1.7,53,-0.0%,45,+0.2%,37,-0.9%,98,+6.8,2,+11.0,9,+2.7%,10,-1.6%,8,+4.2%,34,+1.4
Harrison Barnes,28.4,SAC,Forward,2101,85,+6.5,+15,92,+6.9,85,+2.5%,86,-1.5%,43,-0.4%,93,+4.2,47,+0.4,52,-0.1%,30,-0.7%,58,-0.4%,86,-2.7
Will Barton,29.8,DEN,Wing,1723,57,+0.8,+1,82,+4.0,83,+2.2%,74,-0.8%,72,+1.5%,34,-1.4,22,+3.3,30,+0.9%,11,-1.6%,22,+2.1%,98,-5.9
Nicolas Batum,31.9,LAC,Wing,1839,75,+4.2,+9,56,+0.5,63,+0.8%,53,-0.0%,18,-2.6%,69,+1.2,82,-3.7,82,-1.7%,86,+1.5%,22,+2.1%,51,+0.0
Aron Baynes,33.9,TOR,Big,978,24,-5.5,-14,21,-5.4,32,-1.7%,16,+1.5%,56,+0.4%,18,-2.9,49,+0.1,27,+1.3%,26,-0.9%,84,-2.5%,84,-2.6
Kent Bazemore,31.3,GSW,Wing,1294,92,+9.1,+23,77,+3.4,72,+1.3%,69,-0.6%,71,+1.4%,27,-2.0,91,-5.7,93,-3.4%,93,+2.3%,56,-0.2%,24,+2.4
Bradley Beal,27.3,WAS,Wing,2143,76,+4.3,+11,98,+11.0,96,+4.3%,22,+1.2%,91,+3.9%,99,+7.0,8,+6.7,9,+2.8%,54,+0.2%,19,+2.4%,16,+3.3
Malik Beasley,23.9,MIN,Wing,1213,34,-3.5,-8,43,-1.2,47,-0.4%,63,-0.3%,51,+0.0%,2,-6.2,30,+2.3,45,+0.3%,38,-0.4%,30,+1.5%,26,+2.2
DeAndre' Bembry,26.3,TOR,Wing,947,52,+0.1,+0,38,-2.2,35,-1.4%,18,+1.5%,77,+2.0%,83,+2.6,74,-2.3,88,-2.4%,40,-0.3%,41,+0.6%,44,+0.5
Davis Bertans,28.0,WAS,Forward,1462,88,+7.5,+19,94,+7.8,64,+0.9%,77,-0.9%,86,+2.9%,93,+4.5,48,+0.3,78,-1.4%,42,-0.3%,36,+1.0%,13,+3.7
Patrick Beverley,32.3,LAC,Combo,823,71,+3.4,+7,46,-0.8,58,+0.3%,42,+0.3%,27,-1.9%,60,+0.5,84,-4.3,63,-0.6%,79,+1.2%,64,-0.8%,57,-0.5
Bismack Biyombo,28.2,CHA,Big,1342,4,-14.0,-33,3,-12.5,8,-4.0%,29,+0.8%,66,+1.0%,8,-4.3,37,+1.5,55,-0.3%,16,-1.3%,73,-1.5%,77,-1.8
Nemanja Bjelica,32.5,SAC,Big,435,38,-2.9,-7,27,-3.8,23,-2.3%,33,+0.6%,53,+0.2%,54,+0.0,61,-0.9,38,+0.6%,14,-1.4%,94,-4.0%,70,-1.4
Nemanja Bjelica,32.5,MIA,Big,152,12,-9.6,-23,65,+1.5,96,+4.5%,92,-1.9%,0,-8.2%,24,-2.2,1,+11.1,3,+4.5%,83,+1.3%,2,+6.1%,20,+2.7
Eric Bledsoe,30.9,NOP,Point,2108,37,-3.0,-7,66,+1.6,84,+2.4%,66,-0.5%,66,+1.1%,37,-1.2,14,+4.6,13,+2.4%,33,-0.6%,38,+0.8%,95,-4.7
Bojan Bogdanovic,31.5,UTA,Forward,2207,26,-5.1,-8,39,-1.9,48,-0.3%,31,+0.7%,53,+0.2%,69,+1.2,23,+3.2,35,+0.7%,5,-2.3%,15,+3.1%,90,-3.6
Devin Booker,24.0,PHX,Wing,2269,60,+1.1,+2,93,+7.3,86,+2.6%,42,+0.3%,86,+3.0%,96,+5.1,8,+6.2,33,+0.8%,28,-0.8%,7,+4.2%,33,+1.5
Avery Bradley,29.9,MIA,Combo,203,39,-2.6,-7,40,-1.9,95,+4.2%,4,+3.3%,7,-4.5%,31,-1.6,45,+0.6,81,-1.7%,32,-0.6%,17,+2.9%,35,+1.2
Avery Bradley,29.9,HOU,Wing,383,23,-5.9,-9,30,-3.2,39,-1.1%,78,-1.0%,18,-2.6%,67,+1.1,27,+2.7,39,+0.5%,74,+0.9%,18,+2.8%,55,-0.3
