Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Quincy Acy,23.1,SAC,Big,744,15,+4.8,88,-1.7,80,-1.1%,84,-10.2,89,-0.9,87,-6.7%,88,-18.8,65,-0.4,81,-2.7%,62,-3.6
Steven Adams,20.3,OKC,Big,1115,23,+3.3,23,+1.2,66,-0.5%,27,+6.8,16,+0.7,71,-3.3%,19,+13.7,30,+0.6,45,+0.5%,41,+2.6
Jeff Adrien,27.7,CHA,Big,226,86,-4.8,82,-1.3,33,+0.7%,89,-13.2,93,-1.1,49,+0.1%,98,-40.0,55,-0.1,45,+0.5%,57,-2.3
Jeff Adrien,27.7,MIL,Big,676,62,-1.3,57,-0.3,24,+1.1%,62,-2.5,27,+0.5,42,+1.2%,46,+2.5,64,-0.4,39,+1.2%,54,-1.1
Arron Afflalo,28.0,ORL,Wing,2543,10,+6.1,64,-0.5,44,+0.3%,82,-9.9,26,+0.5,73,-3.9%,24,+11.0,81,-0.9,36,+1.3%,94,-19.7
Alexis Ajinca,25.5,NOP,Big,934,55,-0.4,38,+0.6,4,+3.0%,53,-0.2,40,+0.2,19,+4.7%,48,+1.7,39,+0.4,2,+6.8%,51,-0.8
Cole Aldrich,25.0,NYK,Big,210,30,+2.3,7,+2.5,95,-2.0%,3,+25.8,50,+0.0,99,-16.8%,11,+19.6,3,+2.7,89,-3.8%,2,+31.2
LaMarcus Aldridge,28.3,POR,Big,2496,77,-3.1,37,+0.6,94,-1.9%,25,+7.3,28,+0.5,46,+0.7%,18,+14.4,53,-0.1,92,-4.2%,43,+2.2
Lavoy Allen,24.7,PHI,Big,905,71,-2.5,84,-1.4,59,-0.3%,80,-8.6,84,-0.7,68,-3.0%,67,-6.3,68,-0.5,20,+2.9%,70,-6.1
Ray Allen,38.3,MIA,Wing,1897,17,+4.3,41,+0.4,58,-0.3%,39,+3.3,57,-0.1,81,-5.4%,48,+1.8,39,+0.3,41,+0.9%,39,+3.4
Tony Allen,31.8,MEM,Wing,1271,63,-1.4,44,+0.3,92,-1.8%,24,+7.7,32,+0.4,57,-1.3%,25,+10.8,45,+0.2,90,-3.8%,33,+5.9
Al-Farouq Aminu,23.1,NOP,Forward,2032,47,+0.4,29,+0.9,52,-0.1%,34,+4.6,75,-0.5,61,-1.7%,90,-20.6,15,+1.2,59,-0.8%,18,+13.0
Lou Amundson,30.9,NOP,Big,165,84,-4.4,21,+1.2,4,+2.9%,45,+2.1,81,-0.6,44,+0.9%,96,-27.7,8,+1.8,5,+5.2%,12,+16.4
Chris Andersen,35.3,MIA,Big,1368,80,-3.5,64,-0.5,80,-1.1%,48,+1.3,72,-0.4,66,-2.6%,49,+0.6,60,-0.3,72,-1.9%,50,-0.3
Alan Anderson,31.0,BKN,Wing,1622,68,-2.1,36,+0.6,50,-0.0%,46,+1.7,45,+0.1,78,-4.8%,47,+2.1,42,+0.2,27,+2.0%,45,+1.6
James Anderson,24.6,PHI,Wing,2289,70,-2.4,10,+1.9,26,+1.0%,19,+10.1,14,+0.8,39,+1.6%,17,+15.8,22,+0.9,40,+1.0%,34,+5.7
Ryan Anderson,25.5,NOP,Big,778,29,+2.5,61,-0.4,81,-1.2%,68,-4.1,70,-0.3,36,+1.8%,75,-10.2,44,+0.2,83,-2.9%,42,+2.4
Giannis Antetokounmpo,18.9,MIL,Forward,1796,54,-0.4,51,+0.0,84,-1.3%,43,+2.6,81,-0.6,57,-1.3%,70,-8.0,26,+0.7,48,+0.3%,24,+10.5
Carmelo Anthony,29.4,NYK,Forward,2971,69,-2.2,85,-1.5,60,-0.3%,94,-17.6,85,-0.8,10,+7.4%,95,-25.7,61,-0.3,68,-1.6%,80,-9.5
Joel Anthony,31.2,BOS,Big,128,7,+7.0,93,-2.1,53,-0.1%,96,-19.3,98,-1.9,18,+5.0%,99,-46.1,20,+1.0,69,-1.7%,39,+3.3
Pero Antic,31.3,ATL,Big,898,88,-5.2,44,+0.3,18,+1.4%,60,-1.8,61,-0.2,32,+2.5%,83,-15.5,37,+0.4,25,+2.1%,34,+5.7
Trevor Ariza,28.3,WAS,Wing,2715,78,-3.3,76,-0.9,14,+1.6%,88,-12.5,70,-0.3,10,+7.2%,89,-19.4,72,-0.6,28,+1.9%,77,-8.5
Darrell Arthur,25.6,DEN,Big,1143,98,-8.2,82,-1.2,98,-3.0%,77,-7.3,74,-0.4,93,-9.6%,60,-3.7,75,-0.7,97,-5.6%,74,-7.6
Omer Asik,27.3,HOU,Big,929,63,-1.4,74,-0.8,47,+0.1%,74,-6.7,92,-1.1,75,-4.4%,88,-18.5,49,+0.1,28,+1.9%,54,-1.1
D.J. Augustin,26.0,CHI,Point,1813,10,+6.1,21,+1.2,82,-1.2%,26,+7.1,12,+0.9,49,+0.1%,16,+16.1,38,+0.4,86,-3.1%,39,+3.3
Gustavo Ayon,28.6,ATL,Big,401,81,-3.5,97,-2.8,82,-1.2%,95,-18.5,96,-1.3,82,-5.5%,86,-17.9,89,-1.3,70,-1.8%,90,-15.2
Jeff Ayres,26.5,SAS,Big,855,33,+2.0,53,-0.1,54,-0.2%,46,+2.0,51,-0.0,25,+3.6%,62,-4.6,43,+0.2,67,-1.6%,31,+6.9
Chris Babb,23.7,BOS,Wing,106,99,-9.2,99,-4.1,100,-4.4%,99,-26.7,100,-2.9,100,-21.5%,100,-60.9,90,-1.4,97,-6.0%,90,-16.1
Luke Babbitt,24.4,NOP,Big,453,60,-1.1,58,-0.3,98,-3.3%,9,+14.6,99,-1.9,99,-18.1%,71,-8.2,16,+1.2,73,-2.0%,8,+22.2
Leandro Barbosa,30.9,PHX,Combo,366,93,-6.1,60,-0.4,19,+1.4%,60,-1.8,68,-0.3,6,+9.1%,55,-1.1,58,-0.2,11,+4.3%,61,-3.2
J.J. Barea,29.3,MIN,Combo,1413,57,-0.7,92,-2.1,53,-0.2%,89,-12.7,90,-0.9,57,-1.1%,87,-18.3,91,-1.5,75,-2.2%,85,-12.4
