Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Ray Allen,29.3,SEA,Wing,434,25,+3.9%,98,-6.2%,18,+3.3%,53,-1.8%,32,+1.5%,54,-0.6%,10,+5.2%,12,+4.6%
Carmelo Anthony,20.4,DEN,Forward,179,40,+2.4%,11,+7.1%,100,-12.1%,2,+12.5%,45,+0.4%,18,+1.8%,100,-9.2%,98,-7.5%
Gilbert Arenas,22.8,WAS,Wing,450,46,+1.6%,96,-5.7%,61,-1.0%,11,+6.6%,8,+5.6%,26,+1.2%,65,-1.1%,46,+0.1%
Carlos Arroyo,25.3,DET,Point,133,82,-4.3%,13,+6.4%,82,-3.9%,21,+3.1%,51,-0.8%,43,+0.2%,97,-5.9%,91,-5.6%
Leandro Barbosa,21.9,PHX,Combo,110,74,-2.4%,65,-0.7%,92,-5.3%,13,+5.9%,42,+0.6%,82,-2.8%,20,+2.9%,47,+0.1%
Brent Barry,32.8,SAS,Wing,536,47,+1.6%,54,+0.1%,41,+1.3%,41,+0.6%,29,+1.9%,59,-0.9%,67,-1.2%,66,-2.0%
Jon Barry,35.3,HOU,Wing,180,95,-7.4%,75,-2.2%,16,+3.7%,69,-4.5%,54,-0.9%,27,+1.2%,27,+1.9%,21,+3.1%
Shane Battier,26.1,MEM,Forward,118,11,+5.8%,8,+8.2%,75,-3.2%,73,-4.9%,90,-8.2%,46,-0.1%,46,+0.1%,50,-0.0%
Mike Bibby,26.5,SAC,Point,201,7,+7.0%,61,-0.3%,1,+12.1%,70,-4.6%,4,+7.4%,88,-3.1%,92,-4.1%,97,-7.2%
Chauncey Billups,28.1,DET,Combo,983,36,+3.1%,35,+2.1%,6,+5.9%,54,-1.8%,18,+4.1%,94,-4.1%,78,-2.1%,95,-6.2%
Bruce Bowen,33.4,SAS,Wing,809,31,+3.6%,33,+2.2%,73,-2.6%,34,+1.4%,55,-1.2%,54,-0.6%,54,-0.4%,61,-1.0%
Ryan Bowen,29.0,HOU,Forward,115,9,+6.7%,68,-1.0%,86,-4.5%,32,+1.6%,64,-2.9%,9,+2.8%,32,+1.1%,15,+3.9%
Earl Boykins,28.4,DEN,Point,147,34,+3.4%,22,+4.3%,2,+7.4%,95,-13.4%,85,-6.0%,24,+1.4%,46,+0.3%,33,+1.7%
Rasual Butler,25.4,MIA,Wing,175,38,+2.9%,69,-1.1%,55,-0.2%,32,+1.6%,36,+1.3%,32,+1.1%,70,-1.3%,53,-0.2%
Marcus Camby,30.6,DEN,Big,186,99,-11.8%,17,+5.6%,99,-11.3%,7,+8.4%,65,-2.9%,29,+1.2%,91,-3.8%,74,-2.7%
Vince Carter,27.8,NJN,Wing,180,56,-0.2%,1,+15.4%,94,-6.3%,100,-17.9%,100,-24.2%,41,+0.3%,3,+8.5%,1,+8.8%
Tyson Chandler,22.1,CHI,Big,174,96,-8.4%,94,-5.4%,12,+4.3%,39,+1.0%,9,+5.4%,32,+0.9%,61,-0.9%,49,+0.0%
Jason Collins,25.9,NJN,Big,128,98,-10.1%,82,-3.4%,34,+1.9%,75,-5.0%,66,-3.1%,36,+0.7%,8,+5.8%,8,+6.5%
Nick Collison,24.0,SEA,Big,211,90,-6.5%,97,-5.9%,81,-3.9%,22,+3.0%,53,-0.9%,15,+2.2%,12,+4.5%,6,+6.7%
Samuel Dalembert,24.5,PHI,Big,192,39,+2.6%,90,-4.3%,25,+2.8%,56,-2.0%,40,+0.8%,31,+1.1%,22,+2.4%,17,+3.5%
Erick Dampier,29.3,DAL,Big,302,77,-3.3%,31,+2.7%,36,+1.8%,46,-0.4%,34,+1.4%,96,-4.1%,48,+0.1%,85,-4.1%
Antonio Daniels,29.6,SEA,Combo,324,82,-4.4%,67,-1.0%,15,+3.7%,66,-3.9%,48,-0.2%,40,+0.4%,39,+0.8%,39,+1.2%
Marquis Daniels,23.8,DAL,Combo,158,53,+0.2%,27,+3.2%,84,-4.1%,47,-0.8%,77,-4.9%,17,+2.2%,56,-0.5%,32,+1.7%
Antonio Davis,36.0,CHI,Big,171,37,+3.1%,15,+6.3%,96,-7.9%,26,+2.4%,80,-5.4%,55,-0.7%,50,-0.1%,58,-0.8%
Dale Davis,35.6,IND,Big,314,72,-1.8%,29,+2.9%,44,+0.9%,77,-5.1%,73,-4.2%,82,-2.5%,15,+3.8%,37,+1.3%
Ricky Davis,25.1,BOS,Wing,235,92,-6.7%,32,+2.4%,23,+2.9%,54,-2.0%,39,+0.9%,96,-4.4%,33,+1.1%,78,-3.3%
Juan Dixon,26.1,WAS,Combo,217,89,-6.3%,25,+3.7%,75,-3.0%,59,-2.5%,82,-5.6%,46,-0.0%,26,+1.9%,29,+1.9%
Keyon Dooling,24.5,MIA,Point,255,12,+5.7%,88,-3.9%,89,-4.7%,15,+5.2%,44,+0.5%,7,+2.9%,42,+0.5%,20,+3.4%
Chris Duhon,22.2,CHI,Point,162,21,+4.5%,10,+7.4%,72,-2.6%,61,-2.7%,79,-5.3%,68,-1.2%,61,-0.9%,67,-2.1%
Tim Duncan,28.5,SAS,Big,862,58,-0.4%,89,-4.0%,43,+1.0%,20,+3.3%,16,+4.2%,61,-0.9%,39,+0.7%,54,-0.3%
Reggie Evans,24.5,SEA,Big,208,20,+4.6%,24,+3.9%,26,+2.7%,63,-3.3%,49,-0.7%,48,-0.2%,85,-3.1%,77,-3.2%
Michael Finley,31.7,DAL,Wing,495,88,-5.0%,30,+2.9%,68,-1.6%,33,+1.5%,47,-0.1%,71,-1.5%,69,-1.3%,75,-2.8%
Danny Fortson,28.6,SEA,Big,105,75,-2.5%,49,+0.9%,33,+1.9%,68,-4.5%,61,-2.6%,6,+2.9%,68,-1.3%,32,+1.7%
Jeff Foster,27.8,IND,Big,230,50,+0.9%,87,-3.8%,69,-2.0%,6,+8.4%,5,+6.4%,16,+2.2%,95,-4.8%,73,-2.6%
Pau Gasol,24.3,MEM,Big,131,69,-1.6%,4,+12.8%,96,-7.5%,25,+2.6%,76,-4.9%,35,+0.7%,99,-8.6%,99,-7.9%
Manu Ginobili,27.3,SAS,Wing,769,63,-0.8%,50,+0.8%,58,-0.5%,65,-3.8%,75,-4.3%,25,+1.3%,24,+2.2%,18,+3.5%
Ben Gordon,21.6,CHI,Wing,150,44,+2.2%,14,+6.4%,45,+0.9%,68,-4.4%,68,-3.5%,87,-3.0%,47,+0.1%,75,-2.9%
Richard Hamilton,26.7,DET,Wing,1077,11,+5.8%,82,-3.0%,21,+3.1%,60,-2.6%,43,+0.5%,51,-0.4%,21,+2.9%,26,+2.5%
Othella Harrington,30.8,CHI,Big,104,2,+8.4%,25,+3.8%,49,+0.6%,87,-7.8%,88,-7.2%,11,+2.7%,41,+0.6%,19,+3.4%
Udonis Haslem,24.4,MIA,Big,544,75,-2.5%,64,-0.6%,8,+5.4%,58,-2.3%,22,+3.2%,60,-0.9%,74,-1.7%,72,-2.6%
Brendan Haywood,24.9,WAS,Big,293,55,-0.1%,92,-4.7%,17,+3.5%,35,+1.3%,13,+4.8%,12,+2.7%,83,-2.8%,51,-0.1%
Kirk Hinrich,23.8,CHI,Combo,214,27,+3.8%,16,+6.2%,82,-3.9%,51,-1.6%,81,-5.5%,47,-0.2%,58,-0.5%,57,-0.7%
Robert Horry,34.2,SAS,Big,618,32,+3.4%,21,+4.4%,80,-3.7%,57,-2.3%,84,-5.9%,44,+0.2%,31,+1.4%,34,+1.6%
Josh Howard,24.5,DAL,Forward,429,79,-3.9%,93,-4.7%,5,+6.1%,46,-0.4%,7,+5.7%,86,-2.9%,25,+2.0%,60,-0.9%
Larry Hughes,25.8,WAS,Combo,402,25,+3.9%,45,+1.2%,46,+0.9%,37,+1.2%,26,+2.0%,61,-0.9%,81,-2.4%,79,-3.3%
Lindsey Hunter,33.9,DET,Combo,352,70,-1.8%,66,-0.9%,79,-3.7%,64,-3.7%,89,-7.4%,4,+3.6%,11,+4.7%,3,+8.3%
Steven Hunter,23.0,PHX,Big,209,93,-6.8%,61,-0.3%,35,+1.8%,79,-5.5%,70,-3.7%,18,+1.8%,23,+2.3%,14,+4.1%
Andre Iguodala,20.8,PHI,Wing,193,16,+5.0%,9,+8.1%,25,+2.8%,96,-14.4%,96,-11.7%,11,+2.7%,37,+0.9%,17,+3.5%
Allen Iverson,29.4,PHI,Point,237,1,+8.8%,48,+1.0%,0,+19.6%,97,-15.4%,17,+4.2%,99,-6.2%,34,+1.0%,90,-5.2%
Jim Jackson,34.1,PHX,Combo,466,66,-1.4%,77,-2.6%,77,-3.4%,17,+5.1%,32,+1.7%,39,+0.4%,43,+0.4%,40,+0.9%
Stephen Jackson,26.6,IND,Wing,471,42,+2.3%,12,+6.7%,19,+3.2%,94,-12.7%,95,-9.5%,53,-0.6%,18,+3.4%,23,+2.8%
Jerome James,29.0,SEA,Big,294,39,+2.7%,86,-3.6%,65,-1.2%,4,+9.2%,3,+8.0%,69,-1.3%,86,-3.1%,88,-4.4%
Mike James,29.4,HOU,Combo,170,87,-5.0%,57,-0.1%,18,+3.4%,71,-4.7%,56,-1.3%,4,+3.4%,75,-2.0%,36,+1.5%
Antawn Jamison,28.4,WAS,Wing,378,68,-1.5%,89,-4.2%,37,+1.8%,42,+0.5%,25,+2.3%,37,+0.6%,32,+1.2%,30,+1.9%
Al Jefferson,19.8,BOS,Big,121,97,-9.1%,81,-3.0%,76,-3.4%,1,+12.7%,1,+9.3%,65,-1.1%,96,-5.2%,96,-6.3%
Richard Jefferson,24.4,NJN,Wing,139,96,-8.0%,7,+8.7%,40,+1.4%,75,-5.0%,69,-3.6%,23,+1.4%,98,-6.5%,89,-5.1%
Jared Jeffries,22.9,WAS,Forward,244,13,+5.3%,56,-0.1%,13,+3.9%,55,-2.0%,28,+1.9%,20,+1.7%,89,-3.5%,65,-1.9%
Anthony Johnson,30.1,IND,Point,309,68,-1.5%,75,-2.3%,89,-4.7%,8,+8.1%,20,+3.4%,10,+2.7%,90,-3.8%,61,-1.1%
Joe Johnson,23.3,PHX,Wing,351,57,-0.3%,32,+2.3%,29,+2.3%,76,-5.1%,63,-2.8%,34,+0.7%,52,-0.3%,45,+0.4%
