Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Bam Adebayo,25.3,MIA,Big,925,11,47.1%,11,47.3%,0,0.0%,62,80.4%,82,64%,76,59%,55,68%,0,0%
Nickeil Alexander-Walker,24.2,MIN,Wing,206,81,61.0%,93,64.7%,68,39.4%,0,80.0%,4,92%,26,71%,4,100%,0,100%
Grayson Allen,27.1,MIL,Wing,149,85,63.4%,4,41.7%,87,48.3%,0,85.7%,0,100%,0,100%,4,100%,0,100%
Jarrett Allen,24.5,CLE,Big,190,79,61.1%,71,61.1%,0,0.0%,0,50.0%,39,82%,32,79%,11,100%,0,0%
Kyle Anderson,29.1,MIN,Forward,179,37,50.9%,11,46.2%,0,42.9%,0,100.0%,68,63%,95,25%,21,70%,0,100%
Deandre Ayton,24.3,PHX,Big,319,47,55.0%,37,55.0%,0,0.0%,0,52.2%,37,82%,21,81%,37,82%,0,0%
Desmond Bane,24.4,MEM,Wing,231,19,49.1%,30,50.0%,29,32.0%,100,93.1%,56,65%,52,53%,41,63%,74,81%
Harrison Barnes,30.4,SAC,Forward,196,21,47.5%,47,54.3%,5,25.0%,38,73.1%,74,60%,37,67%,100,14%,0,100%
RJ Barrett,22.4,NYK,Wing,375,26,49.7%,30,50.0%,35,32.8%,10,76.9%,63,63%,48,55%,70,39%,0,100%
Saddiq Bey,23.6,ATL,Forward,166,16,47.4%,5,40.0%,45,37.0%,0,88.9%,16,82%,37,67%,26,67%,0,100%
Bogdan Bogdanovic,30.2,ATL,Wing,182,96,68.0%,96,75.0%,74,41.5%,0,77.8%,52,69%,96,20%,48,62%,59,88%
Devin Booker,26.0,PHX,Wing,458,89,64.9%,89,61.1%,97,50.8%,70,86.6%,96,39%,93,27%,81,36%,100,58%
Christian Braun,21.5,DEN,Combo,243,81,57.1%,94,63.6%,0,22.2%,0,58.8%,25,70%,19,75%,44,40%,0,100%
Mikal Bridges,26.2,BKN,Wing,157,22,49.4%,15,44.2%,71,40.0%,0,78.3%,81,48%,56,50%,85,35%,81,70%
Malcolm Brogdon,29.9,BOS,Combo,466,50,50.5%,31,45.4%,56,38.3%,33,84.8%,63,50%,50,46%,56,32%,81,68%
Dillon Brooks,26.8,MEM,Wing,167,4,37.7%,0,40.0%,13,23.8%,0,71.4%,37,75%,81,33%,22,75%,0,100%
Bruce Brown,26.2,DEN,Wing,528,70,56.6%,85,60.2%,32,32.1%,60,85.7%,85,48%,78,38%,78,38%,56,89%
Jaylen Brown,26.0,BOS,Wing,748,63,55.0%,67,55.8%,58,36.0%,0,69.4%,93,47%,67,41%,67,39%,81,70%
Troy Brown,23.3,LAL,Forward,117,0,36.0%,84,60.0%,0,12.5%,0,0.0%,42,75%,37,67%,0,0%,0,100%
Jalen Brunson,26.2,NYK,Point,442,69,53.5%,88,55.3%,25,33.3%,89,91.2%,94,23%,88,10%,81,16%,69,50%
Jimmy Butler,33.1,MIA,Forward,955,26,49.8%,21,48.6%,41,36.8%,63,81.2%,100,36%,79,47%,89,23%,89,54%
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,75,56.5%,69,55.7%,50,38.0%,17,82.9%,0,89%,6,88%,0,83%,25,94%
Clint Capela,28.5,ATL,Big,179,76,61.0%,68,61.0%,0,0.0%,0,40.0%,58,76%,24,81%,87,50%,0,0%
Nicolas Claxton,23.5,BKN,Big,116,95,72.0%,95,72.0%,0,0.0%,0,60.0%,8,94%,5,92%,11,100%,0,0%
John Collins,25.1,ATL,Big,186,34,52.9%,50,56.3%,53,33.3%,0,66.7%,45,80%,45,75%,76,60%,39,100%
Mike Conley,35.1,MIN,Point,255,100,67.8%,75,52.0%,100,52.9%,0,94.4%,6,61%,94,0%,6,36%,25,83%
Torrey Craig,31.9,PHX,Forward,177,100,70.9%,100,73.7%,91,45.8%,0,88.9%,0,96%,0,100%,11,89%,0,100%
Stephen Curry,34.6,GSW,Point,491,81,56.5%,100,57.1%,50,36.5%,44,84.2%,44,41%,44,28%,31,32%,56,56%
Anthony Davis,29.6,LAL,Big,650,37,53.1%,32,53.3%,0,33.3%,77,84.2%,66,73%,45,75%,50,69%,39,100%
Donte DiVincenzo,25.7,GSW,Wing,207,37,50.9%,22,47.4%,52,35.1%,0,66.7%,7,91%,11,83%,37,67%,0,100%
