Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Bam Adebayo,23.3,MIA,Big,132,0,76.9%,54,11.9%,51,2.0%,91,42.9%
Grayson Allen,25.1,MEM,Wing,145,0,0.0%,0,0.0%,39,0.9%,100,0.0%
Kyle Anderson,27.1,MEM,Forward,213,0,90.0%,65,8.1%,17,0.6%,83,40.0%
Giannis Antetokounmpo,25.9,MIL,Big,792,7,58.3%,83,19.0%,91,3.7%,69,26.3%
Carmelo Anthony,36.4,POR,Forward,143,0,90.9%,65,8.1%,74,1.9%,96,60.0%
Deandre Ayton,22.3,PHX,Big,799,33,73.6%,49,11.1%,34,1.4%,74,32.1%
Desmond Bane,22.4,MEM,Wing,153,0,80.0%,39,5.7%,32,0.8%,75,50.0%
RJ Barrett,20.4,NYK,Wing,158,0,85.7%,82,11.3%,36,0.8%,54,25.0%
Nicolas Batum,31.9,LAC,Wing,554,0,82.6%,54,6.9%,43,0.9%,29,12.5%
Bradley Beal,27.3,WAS,Wing,258,67,87.5%,61,9.1%,89,2.6%,29,12.5%
Davis Bertans,28.0,WAS,Forward,150,0,100.0%,52,7.3%,48,1.1%,0,0.0%
Patrick Beverley,32.3,LAC,Combo,314,0,77.8%,19,4.5%,57,1.3%,0,0.0%
Bogdan Bogdanovic,28.2,ATL,Wing,598,0,70.6%,11,2.4%,54,1.1%,75,50.0%
Bojan Bogdanovic,31.5,UTA,Forward,389,43,87.8%,57,7.5%,70,1.7%,26,9.1%
Devin Booker,24.0,PHX,Wing,887,100,90.5%,86,11.6%,100,3.5%,43,20.0%
Mikal Bridges,24.2,PHX,Wing,699,83,88.9%,46,6.6%,29,0.8%,57,30.8%
Dillon Brooks,24.8,MEM,Wing,259,50,83.3%,75,10.6%,82,2.2%,61,31.3%
Bruce Brown,24.2,BKN,Forward,260,0,78.6%,48,6.7%,35,0.9%,83,40.0%
Jalen Brunson,24.2,DAL,Combo,109,0,72.7%,71,9.5%,95,3.5%,86,75.0%
Reggie Bullock,29.6,NYK,Wing,162,0,80.0%,29,4.9%,21,0.6%,0,0.0%
