Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Malik Allen,25.3,MIA,Big,132,0,57.1%,0,0.0%,100,0.4%,0,0.0%
Rafer Alston,27.3,MIA,Point,288,0,82.6%,0,0.0%,0,0.0%,0,0.0%
Shandon Anderson,29.8,NYK,Wing,111,0,50.0%,0,0.0%,0,0.0%,0,0.0%
Carmelo Anthony,19.4,DEN,Wing,144,0,80.0%,0,0.0%,0,0.0%,0,0.0%
Darrell Armstrong,35.4,NOP,Point,149,0,100.0%,0,0.0%,0,0.0%,0,0.0%
Chucky Atkins,29.2,BOS,Point,134,0,89.5%,0,0.0%,0,0.0%,0,0.0%
Stacey Augmon,35.2,NOP,Wing,165,0,88.9%,0,0.0%,0,0.0%,0,0.0%
Jonathan Bender,22.8,IND,Big,186,0,71.4%,0,0.0%,0,0.0%,0,0.0%
Mike Bibby,25.5,SAC,Point,498,100,87.3%,0,0.0%,0,0.0%,0,0.0%
Chauncey Billups,27.1,DET,Combo,882,100,89.0%,0,0.0%,0,0.0%,0,0.0%
Mark Blount,27.9,BOS,Big,144,0,73.7%,0,0.0%,0,0.0%,0,0.0%
Bruce Bowen,32.4,SAS,Wing,297,0,23.1%,0,0.0%,0,0.0%,0,0.0%
Earl Boykins,27.4,DEN,Point,116,0,80.0%,0,0.0%,0,0.0%,0,0.0%
Devin Brown,24.8,SAS,Combo,124,0,57.1%,0,0.0%,0,0.0%,0,0.0%
P.J. Brown,34.0,NOP,Big,254,0,90.9%,0,0.0%,0,0.0%,0,0.0%
Kobe Bryant,25.2,LAL,Wing,966,40,81.7%,0,0.0%,0,0.0%,0,0.0%
Caron Butler,23.6,MIA,Wing,509,53,82.5%,0,0.0%,0,0.0%,0,0.0%
Marcus Camby,29.6,DEN,Big,194,0,57.1%,0,0.0%,0,0.0%,0,0.0%
Elden Campbell,35.3,DET,Big,125,0,55.6%,0,0.0%,0,0.0%,0,0.0%
Sam Cassell,34.0,MIN,Point,496,80,85.2%,0,0.0%,0,0.0%,0,0.0%
Kelvin Cato,29.2,HOU,Big,146,0,42.9%,0,0.0%,0,0.0%,0,0.0%
Doug Christie,33.5,SAC,Wing,458,80,85.4%,0,0.0%,0,0.0%,0,0.0%
