Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Arron Afflalo,24.0,DEN,Wing,2157,90,55.7%,46,26%,39,9%,31,22%,29,31%,93,25%,38,18%,77,43%
LaMarcus Aldridge,24.3,POR,Big,2911,43,49.9%,10,26%,87,33%,87,40%,95,73%,72,1%,64,1%,69,1%
Malik Allen,31.3,DEN,Big,383,3,38.3%,8,22%,8,10%,98,63%,94,73%,87,4%,72,1%,80,5%
Ray Allen,34.3,BOS,Wing,2813,88,55.2%,36,24%,52,11%,36,24%,40,35%,59,13%,72,28%,69,41%
Tony Allen,27.8,BOS,Wing,838,76,52.2%,99,71%,63,13%,16,16%,25,29%,2,0%,0,0%,1,0%
Rafer Alston,33.3,BKN,Combo,744,4,39.2%,57,26%,96,23%,21,21%,62,44%,26,5%,53,25%,47,30%
Rafer Alston,33.3,MIA,Point,652,20,44.6%,39,23%,49,14%,10,15%,10,29%,84,13%,90,35%,86,48%
Lou Amundson,26.9,PHX,Big,1029,78,55.8%,93,76%,25,15%,24,8%,10,24%,0,0%,0,0%,0,0%
Chris Andersen,31.3,DEN,Big,1668,89,57.9%,95,79%,3,6%,42,15%,8,21%,0,0%,58,0%,52,0%
David Andersen,29.4,HOU,Big,848,30,48.5%,5,17%,71,28%,74,32%,75,60%,75,1%,90,22%,87,22%
Ryan Anderson,21.5,ORL,Big,837,66,53.2%,22,33%,2,4%,23,7%,1,11%,98,13%,99,43%,99,55%
Carmelo Anthony,25.4,DEN,Wing,2624,33,47.9%,85,37%,76,15%,82,36%,81,51%,7,2%,21,11%,11,12%
Joel Anthony,27.2,MIA,Big,1249,36,49.0%,75,66%,89,34%,0,0%,34,34%,0,0%,0,0%,0,0%
Gilbert Arenas,27.8,WAS,Combo,1166,26,46.1%,38,22%,68,15%,68,34%,79,50%,11,2%,64,26%,30,28%
