Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Anthony Johnson,31.1,IND,Point,240,94,56.3%,88,55.2%,100,40.0%,0,67.7%,76,24%,12,46%,76,8%,100,38%
Damon Jones,29.2,CLE,Combo,171,40,45.7%,10,42.9%,33,31.3%,0,0.0%,0,88%,100,0%,0,100%,20,100%
Eddie Jones,34.0,MEM,Wing,119,75,53.4%,56,50.0%,0,42.9%,0,66.7%,53,50%,94,20%,34,50%,6,100%
Fred Jones,26.6,IND,Wing,165,41,50.0%,31,45.0%,59,37.5%,0,91.7%,34,60%,59,40%,34,50%,75,83%
James Jones,25.1,PHX,Forward,345,6,38.1%,18,36.4%,8,28.0%,71,84.6%,24,78%,76,40%,18,80%,6,100%
Chris Kaman,23.5,LAC,Big,321,81,58.8%,81,58.8%,0,0.0%,0,76.2%,67,58%,69,53%,44,69%,0,0%
Jason Kidd,32.6,BKN,Point,449,29,43.8%,29,42.0%,33,31.3%,0,82.6%,35,43%,47,21%,65,15%,18,100%
Nenad Krstic,22.3,BKN,Big,365,44,50.4%,50,50.4%,0,0.0%,50,71.1%,31,75%,33,65%,28,82%,0,0%
Shaun Livingston,20.1,LAC,Wing,331,31,48.7%,44,47.3%,0,100.0%,0,81.0%,81,39%,44,45%,66,33%,100,0%
Corey Maggette,26.0,LAC,Wing,289,47,50.4%,56,50.0%,36,34.8%,94,91.0%,28,65%,31,52%,16,69%,59,88%
Jamaal Magloire,27.4,MIL,Big,134,28,47.4%,36,47.4%,0,0.0%,0,60.0%,8,83%,6,86%,31,75%,0,0%
Shawn Marion,27.5,PHX,Forward,848,59,52.4%,71,53.4%,33,31.9%,100,88.1%,18,81%,6,79%,29,78%,6,100%
Donyell Marshall,32.5,CLE,Big,342,50,51.5%,31,45.6%,60,39.1%,0,88.2%,19,77%,36,65%,47,67%,97,94%
Kevin Martin,22.7,SAC,Wing,187,25,48.0%,38,45.5%,50,35.3%,100,100.0%,25,71%,28,56%,19,67%,6,100%
Antonio McDyess,31.2,DET,Big,365,75,56.6%,75,56.6%,0,0.0%,17,54.8%,11,82%,19,71%,17,91%,0,0%
Andre Miller,29.6,DEN,Combo,181,30,44.2%,40,44.2%,0,0.0%,0,82.4%,60,47%,30,37%,40,60%,0,0%
Brad Miller,29.6,SAC,Big,166,14,42.2%,14,44.4%,0,16.7%,0,92.3%,28,76%,58,57%,25,85%,78,100%
Mike Miller,25.7,MEM,Wing,107,9,41.7%,56,50.0%,0,12.5%,0,100.0%,41,58%,22,57%,34,50%,6,100%
Cuttino Mobley,30.2,LAC,Combo,472,50,46.1%,50,44.2%,67,35.7%,100,89.7%,30,60%,20,47%,50,54%,20,100%
Alonzo Mourning,35.7,MIA,Big,222,100,70.3%,100,70.3%,0,0.0%,28,66.7%,3,88%,3,89%,19,88%,0,0%
Lamond Murray,32.5,BKN,Forward,190,53,50.0%,53,50.0%,50,33.3%,0,77.8%,35,75%,76,40%,35,75%,88,91%
Ronald Murray,26.3,CLE,Wing,387,3,37.0%,9,37.8%,0,22.7%,50,82.1%,53,50%,44,45%,59,36%,6,100%
Steve Nash,31.7,PHX,Point,797,88,56.1%,94,55.9%,89,37.6%,100,91.2%,94,18%,76,10%,82,7%,71,53%
Andres Nocioni,25.9,CHI,Forward,229,88,61.9%,88,58.7%,92,47.6%,86,85.7%,59,68%,41,53%,47,64%,6,100%
Dirk Nowitzki,27.4,DAL,Big,980,39,49.6%,44,49.0%,40,35.4%,100,89.5%,92,39%,97,21%,83,39%,100,83%
Jermaine O'Neal,27.1,IND,Big,216,58,53.0%,61,53.7%,0,0.0%,56,71.7%,50,66%,50,60%,42,69%,0,0%
