Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Arron Afflalo,24.0,DEN,Wing,2157,12,13.3%,82,115.5,37,9.3%,72,0.70,58,11.1%
LaMarcus Aldridge,24.3,POR,Big,2911,86,21.8%,47,107.3,75,9.9%,60,0.46,98,7.9%
Malik Allen,31.3,DEN,Big,383,32,14.3%,3,82.4,22,4.1%,26,0.29,42,15.2%
Ray Allen,34.3,BOS,Wing,2813,58,18.8%,95,123.5,59,11.8%,58,0.63,50,11.5%
Tony Allen,27.8,BOS,Wing,838,54,18.4%,58,108.2,64,12.4%,68,0.67,4,17.7%
Rafer Alston,33.3,BKN,Combo,744,64,23.5%,9,87.3,66,24.6%,66,1.04,13,15.4%
Rafer Alston,33.3,MIA,Point,652,12,16.5%,8,91.7,6,15.7%,12,0.95,35,14.5%
Lou Amundson,26.9,PHX,Big,1029,25,13.2%,63,112.0,15,3.4%,20,0.26,23,17.6%
Chris Andersen,31.3,DEN,Big,1668,7,9.8%,96,126.2,10,2.6%,22,0.27,49,14.6%
David Andersen,29.4,HOU,Big,848,74,19.0%,26,100.8,69,8.8%,63,0.46,93,9.7%
Ryan Anderson,21.5,ORL,Big,837,88,22.3%,72,114.0,55,7.4%,35,0.33,62,13.2%
Carmelo Anthony,25.4,DEN,Wing,2624,98,32.6%,69,110.3,84,15.9%,28,0.49,63,10.8%
Joel Anthony,27.2,MIA,Big,1249,3,8.4%,53,109.2,5,1.3%,8,0.16,14,20.0%
Gilbert Arenas,27.8,WAS,Combo,1166,100,33.8%,28,102.1,98,35.2%,64,1.04,45,12.8%
Trevor Ariza,24.3,HOU,Wing,2625,77,21.6%,18,97.9,85,16.4%,77,0.76,36,12.6%
Hilton Armstrong,24.9,NOP,Big,197,36,14.7%,0,69.2,78,10.4%,87,0.71,47,14.8%
Carlos Arroyo,30.3,MIA,Point,1503,10,16.3%,45,104.0,22,22.6%,76,1.39,98,9.6%
Darrell Arthur,21.6,MEM,Big,444,51,16.0%,9,91.1,33,5.0%,30,0.31,69,12.8%
Chucky Atkins,35.2,DET,Point,607,8,16.1%,10,93.1,18,21.9%,67,1.35,73,12.5%
D.J. Augustin,22.0,CHA,Point,1392,39,19.5%,59,107.1,24,22.7%,33,1.16,82,11.8%
Jeff Ayres,22.5,POR,Big,376,1,7.9%,100,142.4,1,0.4%,1,0.05,22,17.9%
Kelenna Azubuike,25.9,GSW,Wing,220,45,17.3%,98,127.2,11,6.6%,7,0.38,95,7.8%
Marcus Banks,28.0,TOR,Point,183,33,19.1%,98,121.3,8,18.2%,10,0.95,76,12.5%
Leandro Barbosa,26.9,PHX,Wing,688,80,22.8%,53,106.9,62,12.1%,37,0.53,68,10.4%
J.J. Barea,25.3,DAL,Combo,1484,60,23.4%,45,104.8,79,26.6%,77,1.14,38,13.1%
Andrea Bargnani,24.0,TOR,Big,2794,77,19.9%,55,110.1,39,5.3%,23,0.27,91,9.9%
