Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Nikola Vucevic,29.0,ORL,Big,184,25,+3.2%,78,-3.3%,34,+1.4%,6,+4.0%,6,+5.3%,3,+5.3%,98,-7.3%,72,-2.0%
Kemba Walker,29.5,BOS,Point,627,49,+0.5%,54,-0.3%,49,+0.1%,35,+1.4%,31,+1.5%,49,+0.1%,68,-1.3%,63,-1.2%
TJ Warren,26.2,IND,Forward,156,18,+4.3%,83,-3.8%,3,+5.4%,9,+3.5%,2,+8.9%,93,-4.3%,61,-0.7%,92,-5.1%
Russell Westbrook,31.0,HOU,Combo,261,19,+3.8%,17,+2.9%,89,-3.4%,87,-3.2%,98,-6.6%,2,+6.0%,78,-2.4%,19,+3.6%
Hassan Whiteside,30.4,POR,Big,116,43,+1.7%,89,-5.5%,98,-5.7%,2,+6.4%,43,+0.8%,4,+5.1%,56,-0.4%,14,+4.7%
Lou Williams,33.0,LAC,Combo,336,46,+1.2%,45,+0.2%,57,-0.5%,23,+2.3%,28,+1.8%,83,-3.1%,36,+1.2%,71,-2.0%
Marvin Williams,33.4,MIL,Big,178,75,-3.1%,4,+7.5%,46,+0.5%,99,-5.3%,88,-4.8%,28,+1.6%,88,-4.2%,75,-2.7%
Ivica Zubac,22.6,LAC,Big,317,63,-1.6%,85,-4.4%,62,-0.9%,24,+2.0%,36,+1.1%,38,+1.0%,28,+2.4%,20,+3.3%
Torrey Craig,28.9,DEN,Wing,372,32,+2.7%,53,-0.2%,83,-2.5%,90,-3.7%,95,-6.2%,14,+3.1%,18,+3.3%,7,+6.4%
Monte Morris,24.3,DEN,Point,396,10,+6.5%,7,+5.3%,59,-0.6%,73,-1.7%,78,-2.3%,65,-0.9%,75,-2.1%,78,-3.0%
Kyle Kuzma,24.3,LAL,Forward,470,44,+1.6%,51,-0.1%,8,+3.9%,54,-0.2%,18,+3.7%,69,-1.1%,80,-2.5%,79,-3.6%
Alex Caruso,25.7,LAL,Combo,499,57,-0.5%,40,+0.5%,86,-2.7%,40,+1.1%,71,-1.6%,34,+1.3%,53,-0.1%,38,+1.1%
OG Anunoby,22.3,TOR,Forward,392,68,-2.4%,57,-0.5%,10,+3.5%,84,-2.7%,46,+0.7%,23,+2.3%,81,-2.5%,55,-0.2%
Bam Adebayo,22.3,MIA,Big,686,40,+1.8%,24,+1.9%,60,-0.6%,74,-1.8%,79,-2.5%,92,-4.1%,9,+4.7%,43,+0.6%
Jayson Tatum,21.7,BOS,Forward,690,96,-8.2%,67,-1.4%,41,+0.8%,63,-1.1%,56,-0.2%,11,+3.6%,73,-1.9%,33,+1.7%
Semi Ojeleye,24.9,BOS,Big,113,24,+3.5%,72,-2.0%,99,-6.7%,33,+1.5%,91,-5.2%,6,+4.3%,20,+2.9%,5,+7.2%
Daniel Theis,27.6,BOS,Big,481,79,-3.3%,59,-0.7%,36,+1.3%,52,-0.1%,34,+1.2%,55,-0.2%,55,-0.3%,56,-0.5%
Maxi Kleber,27.8,DAL,Big,203,18,+4.0%,70,-1.8%,80,-2.3%,63,-1.0%,83,-3.3%,27,+1.7%,17,+3.5%,13,+5.1%
Jarrett Allen,21.5,BKN,Big,132,63,-1.6%,98,-10.1%,29,+1.7%,77,-1.9%,57,-0.2%,0,+8.3%,32,+2.0%,3,+10.3%
Markelle Fultz,21.4,ORL,Combo,143,5,+8.9%,23,+2.1%,91,-3.6%,14,+2.9%,63,-0.7%,37,+1.1%,78,-2.5%,66,-1.4%
Donovan Mitchell,23.1,UTA,Combo,263,42,+1.8%,87,-4.5%,95,-4.7%,1,+6.5%,27,+1.8%,93,-4.2%,5,+6.9%,23,+2.7%
