Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Shareef Abdur-Rahim,28.9,SAC,Big,1946,27,1.2%,64,1.1%,66,4.8%,13,6.1%,14,12.7%,34,2.3%,30,23.0%
Malik Allen,27.3,CHI,Big,655,34,1.3%,46,0.9%,59,5.1%,11,6.0%,11,12.4%,36,2.6%,13,16.7%
Ray Allen,30.3,OKC,Wing,3009,23,0.3%,62,1.6%,98,1.9%,41,2.6%,46,9.9%,42,0.7%,22,3.7%
Tony Allen,23.8,BOS,Combo,911,98,0.9%,93,2.3%,5,5.6%,98,4.1%,44,8.7%,76,1.4%,73,5.5%
Rafer Alston,29.3,HOU,Point,2420,71,0.3%,75,2.0%,44,3.7%,35,1.6%,75,9.6%,85,1.5%,71,4.9%
Chris Andersen,27.3,NOP,Big,528,93,4.0%,17,0.6%,30,6.5%,89,12.4%,70,18.2%,27,1.7%,78,36.4%
Alan Anderson,23.0,CHA,Wing,515,42,0.4%,15,1.0%,46,3.7%,76,4.2%,45,9.8%,0,0.0%,33,5.6%
Derek Anderson,31.3,HOU,Wing,579,40,0.4%,35,1.3%,59,3.6%,27,2.0%,78,12.0%,96,6.7%,79,17.3%
Derek Anderson,31.3,MIA,Wing,426,21,0.3%,14,0.9%,15,5.0%,34,2.4%,77,11.9%,0,0.0%,59,9.7%
Shandon Anderson,31.8,MIA,Wing,575,50,0.5%,29,1.2%,5,6.0%,65,3.4%,44,9.6%,0,0.0%,77,16.7%
Carmelo Anthony,21.4,DEN,Forward,2930,52,0.7%,53,1.3%,83,2.8%,37,4.7%,15,9.8%,18,0.5%,0,4.0%
Rafael Araujo,25.2,TOR,Big,587,9,0.6%,96,1.9%,25,7.0%,27,7.4%,69,18.1%,60,4.5%,86,40.0%
Gilbert Arenas,23.8,WAS,Combo,3379,71,0.4%,85,2.1%,73,3.1%,58,1.8%,24,7.2%,53,0.4%,60,4.1%
