Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Alex Abrines,25.3,OKC,Wing,558,6,-4.8%,19,-2.9%,34,-0.9%,65,+0.9%,50,-0.0%,46,-0.2%,87,+3.1%,83,+2.9%
Quincy Acy,28.1,PHX,Big,102,86,+2.1%,27,-2.0%,1,-5.8%,38,-0.6%,2,-6.4%,40,-0.4%,100,+8.8%,98,+8.4%
Steven Adams,25.3,OKC,Big,2678,96,+4.1%,75,+2.0%,20,-1.7%,37,-0.7%,20,-2.5%,94,+2.1%,26,-1.6%,59,+0.5%
LaMarcus Aldridge,33.3,SAS,Big,2698,54,-0.0%,42,-0.8%,98,+5.1%,95,+4.3%,100,+9.5%,25,-1.0%,1,-7.7%,1,-8.7%
Al-Farouq Aminu,28.1,POR,Big,2291,85,+2.0%,94,+5.1%,29,-1.2%,26,-1.4%,19,-2.5%,60,+0.2%,16,-2.7%,20,-2.5%
Justin Anderson,25.0,ATL,Wing,414,25,-1.9%,50,-0.2%,41,-0.6%,45,-0.3%,39,-0.8%,69,+0.5%,60,+0.5%,66,+1.1%
Kyle Anderson,25.1,MEM,Forward,1270,55,-0.0%,44,-0.6%,90,+2.9%,35,-0.8%,74,+2.1%,26,-0.9%,41,-0.6%,30,-1.5%
Ryan Anderson,30.5,PHX,Big,277,7,-4.5%,75,+2.0%,1,-6.0%,61,+0.7%,5,-5.3%,26,-0.9%,93,+4.2%,86,+3.3%
Giannis Antetokounmpo,23.9,MIL,Forward,2364,82,+1.8%,96,+6.0%,24,-1.5%,11,-2.5%,10,-4.0%,64,+0.4%,18,-2.3%,25,-2.0%
Carmelo Anthony,34.4,HOU,Forward,291,3,-5.5%,36,-1.3%,86,+2.3%,93,+3.9%,96,+6.2%,1,-3.5%,29,-1.4%,7,-4.9%
Trevor Ariza,33.3,PHX,Wing,883,44,-0.6%,44,-0.7%,6,-3.7%,72,+1.3%,21,-2.4%,91,+1.7%,71,+1.3%,84,+3.1%
Trevor Ariza,33.3,WAS,Wing,1463,93,+3.4%,22,-2.5%,14,-2.4%,33,-0.9%,13,-3.3%,98,+2.5%,88,+3.3%,96,+5.8%
D.J. Augustin,31.0,ORL,Point,2265,91,+2.8%,98,+6.5%,72,+1.3%,1,-6.9%,4,-5.6%,82,+1.2%,21,-2.1%,40,-0.9%
J.J. Barea,34.3,DAL,Combo,744,49,-0.3%,89,+4.1%,41,-0.6%,22,-1.6%,23,-2.2%,23,-1.0%,37,-0.9%,26,-1.9%
Harrison Barnes,26.4,DAL,Forward,1569,28,-1.7%,31,-1.7%,94,+3.7%,61,+0.7%,90,+4.4%,54,+0.0%,16,-2.8%,18,-2.7%
Harrison Barnes,26.4,SAC,Forward,948,69,+1.0%,23,-2.2%,80,+1.8%,55,+0.3%,74,+2.1%,69,+0.6%,42,-0.5%,51,+0.1%
