Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Kyle Anderson,30.1,MIN,Forward,227,22,+8.3,65,-1.4,41,+0.4%,80,-19.9,64,-0.2,45,+1.5%,73,-18.4,48,-0.3,63,-1.2%,60,-11.9
Nicolas Batum,34.9,PHI,Wing,197,19,+9.1,15,+4.0,3,+5.4%,25,+20.3,84,-1.7,35,+6.1%,87,-50.0,3,+6.8,27,+3.3%,4,+72.4
Bradley Beal,30.3,PHX,Combo,153,55,-0.9,12,+4.7,10,+3.5%,11,+36.4,1,+4.5,31,+7.2%,11,+62.5,42,+0.2,2,+10.0%,63,-14.7
Malik Beasley,26.9,MIL,Combo,126,43,+1.2,27,+2.2,1,+6.2%,45,+7.1,15,+2.3,41,+3.6%,18,+51.1,41,+0.4,10,+7.1%,54,-5.6
Patrick Beverley,35.3,MIL,Wing,209,20,+8.9,3,+7.1,98,-7.5%,8,+42.1,32,+1.1,99,-34.5%,7,+69.0,2,+7.0,59,-0.6%,6,+62.6
Devin Booker,27.0,PHX,Point,165,81,-7.5,1,+9.0,100,-11.5%,2,+54.4,90,-2.3,78,-13.8%,75,-20.0,0,+11.0,92,-7.3%,0,+162.5
Jaylen Brown,27.0,BOS,Wing,706,18,+9.5,24,+2.4,17,+2.3%,29,+17.0,40,+0.5,49,0.0%,33,+25.7,31,+1.2,22,+4.2%,34,+9.2
Alec Burks,32.3,NYK,Wing,114,11,+13.3,31,+2.0,81,-2.3%,26,+19.6,91,-2.3,44,+1.8%,87,-50.0,8,+4.5,73,-3.5%,7,+56.3
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,11,+12.9,53,-0.5,56,-0.8%,52,-1.2,24,+1.4,29,+7.7%,32,+26.2,76,-2.1,76,-3.9%,75,-27.3
Mike Conley,36.1,MIN,Point,472,68,-3.7,17,+3.4,38,+0.8%,12,+35.6,8,+3.3,69,-7.5%,4,+90.0,56,-0.7,19,+4.7%,46,+1.9
