Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Arron Afflalo,26.0,DEN,Wing,228,38,16.8%,38,96.2,65,12.3%,76,0.73,62,10.3%
Lavoy Allen,22.7,PHI,Big,234,23,12.1%,79,113.6,9,2.2%,13,0.18,83,8.5%
Ray Allen,36.3,BOS,Wing,610,24,14.6%,54,104.3,14,4.1%,11,0.28,78,9.3%
Tony Allen,29.8,MEM,Wing,170,30,16.2%,24,90.6,16,4.6%,14,0.29,14,17.1%
Ryan Anderson,23.5,ORL,Big,172,36,14.4%,51,102.1,34,4.2%,43,0.29,28,17.6%
Carmelo Anthony,27.4,NYK,Forward,203,100,36.0%,13,99.3,63,13.8%,38,0.38,75,9.2%
Joel Anthony,29.2,MIA,Big,319,0,6.5%,94,125.6,4,1.0%,9,0.15,23,18.8%
Omer Asik,25.3,CHI,Big,128,21,11.5%,13,90.9,72,10.1%,94,0.88,4,26.2%
Leandro Barbosa,28.9,IND,Wing,214,62,19.6%,11,80.8,49,10.3%,41,0.52,30,14.3%
Matt Barnes,31.6,LAL,Wing,173,59,18.9%,0,62.5,73,14.2%,78,0.75,8,19.2%
Brandon Bass,26.5,BOS,Big,603,40,15.8%,72,108.3,40,4.4%,40,0.28,87,7.6%
Shane Battier,33.1,MIA,Wing,761,0,9.3%,81,113.4,19,5.5%,46,0.59,65,10.3%
Mike Bibby,33.5,NYK,Point,108,0,10.8%,100,128.6,24,18.2%,94,1.68,53,11.8%
Steve Blake,31.7,LAL,Point,298,6,11.8%,94,119.0,12,15.0%,59,1.28,12,16.5%
Eric Bledsoe,21.9,LAC,Combo,184,70,23.5%,90,120.3,80,19.7%,60,0.84,10,16.5%
Matt Bonner,31.6,SAS,Big,156,6,9.7%,9,86.7,62,7.9%,85,0.81,72,9.1%
Carlos Boozer,29.9,CHI,Big,200,96,26.1%,11,88.0,94,15.9%,74,0.61,15,20.7%
Chris Bosh,27.6,MIA,Big,438,53,18.3%,85,115.3,23,3.4%,15,0.18,57,12.0%
Avery Bradley,20.9,BOS,Combo,247,20,16.0%,10,87.0,0,4.9%,0,0.31,50,12.3%
Elton Brand,32.6,PHI,Big,355,38,14.7%,40,98.2,28,3.8%,36,0.26,94,6.4%
Corey Brewer,25.7,DEN,Wing,112,57,18.8%,78,109.4,38,8.2%,30,0.44,100,4.2%
Kobe Bryant,33.2,LAL,Wing,475,100,35.1%,65,106.2,95,23.1%,54,0.66,81,9.2%
Caron Butler,31.6,LAC,Wing,266,70,20.2%,22,86.0,30,7.4%,19,0.36,27,14.5%
Andrew Bynum,24.0,LAL,Big,450,60,18.8%,68,108.2,60,7.0%,60,0.37,81,8.6%
