Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Quincy Acy,23.1,SAC,Big,744,58,-0.4%,90,-4.7%,15,+4.5%,63,-1.1%,26,+1.7%,25,+4.0%,62,-1.0%,48,+0.3%
Steven Adams,20.3,OKC,Big,1115,18,+2.0%,12,+4.0%,92,-5.8%,26,+2.1%,71,-1.4%,11,+7.6%,29,+1.9%,14,+3.4%
Jeff Adrien,27.7,CHA,Big,226,46,+0.2%,97,-6.7%,41,+0.8%,38,+1.0%,36,+0.9%,38,+1.8%,11,+4.4%,13,+3.7%
Jeff Adrien,27.7,MIL,Big,676,70,-1.0%,39,+0.8%,83,-4.0%,60,-0.8%,78,-2.1%,56,-0.6%,42,+0.7%,48,+0.2%
Arron Afflalo,28.0,ORL,Wing,2543,15,+2.2%,4,+6.3%,37,+1.3%,33,+1.5%,30,+1.4%,10,+8.5%,73,-2.2%,46,+0.4%
Alexis Ajinca,25.5,NOP,Big,934,69,-1.0%,64,-1.3%,96,-7.8%,57,-0.6%,93,-3.9%,13,+6.7%,65,-1.3%,39,+0.9%
Cole Aldrich,25.0,NYK,Big,210,48,+0.1%,99,-11.1%,89,-4.8%,0,+13.5%,4,+5.5%,98,-15.9%,4,+7.4%,24,+2.0%
LaMarcus Aldridge,28.3,POR,Big,2496,62,-0.6%,75,-2.4%,21,+3.3%,43,+0.6%,23,+1.9%,60,-1.5%,44,+0.5%,53,-0.1%
Lavoy Allen,24.7,PHI,Big,905,23,+1.6%,16,+3.6%,75,-2.7%,46,+0.3%,64,-0.9%,41,+1.5%,36,+1.2%,32,+1.3%
Ray Allen,38.3,MIA,Wing,1897,43,+0.4%,34,+1.1%,46,+0.5%,21,+2.6%,29,+1.5%,69,-2.7%,57,-0.6%,67,-1.3%
Tony Allen,31.8,MEM,Wing,1271,39,+0.7%,20,+2.8%,87,-4.6%,50,-0.1%,79,-2.2%,34,+2.2%,41,+0.8%,34,+1.2%
Al-Farouq Aminu,23.1,NOP,Forward,2032,21,+1.7%,3,+6.3%,77,-3.1%,34,+1.4%,61,-0.8%,59,-1.5%,54,-0.3%,62,-0.9%
Lou Amundson,30.9,NOP,Big,165,100,-6.3%,94,-5.6%,100,-16.6%,97,-8.6%,100,-12.5%,13,+6.9%,49,+0.0%,19,+2.5%
Chris Andersen,35.3,MIA,Big,1368,96,-4.0%,82,-3.3%,64,-1.4%,81,-3.0%,78,-2.1%,82,-5.1%,92,-5.4%,95,-5.4%
