Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,25.3,OKC,Big,159,77,+4.6%,73,+6.7%,25,-6.3%,89,+18.2%,74,+6.1%,78,+11.6%,17,-5.9%,45,-0.0%
LaMarcus Aldridge,33.3,SAS,Big,243,3,-9.9%,9,-11.4%,11,-11.6%,25,-6.8%,10,-9.9%,29,-4.0%,26,-3.9%,18,-4.2%
Al-Farouq Aminu,28.1,POR,Big,399,35,-1.1%,19,-7.6%,67,+4.6%,35,-3.5%,53,+1.4%,20,-9.5%,59,+2.8%,48,+0.7%
Giannis Antetokounmpo,23.9,MIL,Forward,513,28,-2.5%,25,-6.1%,27,-5.8%,87,+16.6%,59,+3.0%,48,+0.7%,23,-4.9%,23,-3.8%
D.J. Augustin,31.0,ORL,Point,140,94,+9.5%,11,-10.5%,68,+4.7%,95,+23.8%,92,+12.4%,50,+1.5%,98,+16.9%,97,+14.0%
Will Barton,27.8,DEN,Wing,320,4,-8.4%,33,-3.9%,4,-21.0%,56,+4.1%,3,-13.5%,28,-4.7%,30,-3.1%,25,-3.4%
Aron Baynes,31.9,BOS,Big,115,20,-3.4%,77,+8.2%,28,-4.8%,27,-6.5%,21,-5.9%,75,+10.4%,24,-4.4%,29,-2.4%
Malik Beasley,21.9,DEN,Wing,265,37,-0.9%,10,-11.2%,72,+5.7%,51,+2.5%,70,+4.8%,46,+0.3%,70,+4.7%,69,+3.9%
Marco Belinelli,32.6,SAS,Wing,130,48,+1.0%,83,+10.3%,44,-0.7%,28,-6.3%,29,-2.8%,43,0.0%,28,-3.4%,28,-2.9%
Patrick Beverley,30.3,LAC,Combo,194,18,-4.5%,0,-25.9%,18,-8.0%,30,-4.8%,18,-6.5%,98,+43.5%,82,+7.2%,95,+11.7%
Eric Bledsoe,28.9,MIL,Point,422,13,-4.9%,51,+1.0%,64,+3.9%,19,-9.8%,37,-1.5%,21,-9.2%,12,-8.2%,8,-8.5%
Bojan Bogdanovic,29.5,IND,Forward,147,93,+9.1%,98,+18.2%,94,+19.7%,71,+9.6%,93,+13.4%,98,+42.1%,55,+1.6%,73,+4.8%
Andrew Bogut,33.9,GSW,Big,178,26,-2.7%,73,+6.7%,38,-2.4%,57,+4.6%,49,+1.1%,12,-14.3%,31,-2.8%,15,-5.4%
Malcolm Brogdon,25.9,MIL,Combo,194,70,+4.0%,42,-0.6%,65,+4.0%,77,+11.7%,77,+6.6%,79,+11.8%,47,-0.1%,64,+2.6%
Jaylen Brown,22.0,BOS,Wing,269,40,-0.4%,89,+12.2%,68,+4.8%,39,-1.0%,55,+2.1%,39,-1.3%,11,-8.4%,10,-7.1%
Jimmy Butler,29.1,PHI,Forward,421,66,+3.5%,52,+1.1%,70,+5.2%,29,-5.9%,46,+0.9%,89,+15.3%,65,+3.7%,83,+6.8%
Clint Capela,24.5,HOU,Big,330,57,+2.5%,36,-2.3%,48,-0.4%,96,+24.1%,69,+4.7%,23,-8.4%,73,+5.1%,65,+2.8%
DeMarre Carroll,32.3,BKN,Forward,119,52,+1.3%,13,-9.2%,85,+10.5%,0,-36.5%,33,-2.2%,92,+16.4%,92,+10.7%,93,+11.2%
Darren Collison,31.2,IND,Point,116,59,+2.8%,92,+12.9%,50,0.0%,81,+13.5%,84,+8.6%,99,+53.3%,3,-16.7%,13,-6.1%
Pat Connaughton,25.8,MIL,Wing,294,13,-5.0%,56,+1.9%,20,-7.6%,14,-11.4%,14,-9.1%,10,-14.8%,29,-3.2%,14,-5.8%
DeMarcus Cousins,28.2,GSW,Big,133,2,-10.9%,7,-12.8%,6,-18.3%,22,-7.5%,4,-12.4%,69,+8.8%,15,-7.4%,22,-3.8%
Jae Crowder,28.3,UTA,Big,130,7,-7.5%,48,+0.6%,7,-18.1%,1,-34.5%,1,-22.2%,48,+1.1%,14,-7.6%,16,-4.7%
Seth Curry,28.2,POR,Wing,319,44,+0.2%,54,+1.5%,21,-7.4%,48,+2.1%,26,-3.6%,86,+14.5%,32,-2.8%,48,+0.3%
Stephen Curry,30.6,GSW,Point,845,83,+6.3%,40,-0.8%,79,+7.6%,78,+12.2%,87,+9.8%,72,+9.6%,20,-5.4%,33,-2.0%
DeMar DeRozan,29.2,SAS,Wing,248,72,+4.2%,43,-0.3%,73,+6.6%,65,+7.5%,75,+6.6%,13,-13.2%,87,+8.4%,78,+5.2%
Spencer Dinwiddie,25.6,BKN,Combo,131,25,-2.8%,49,+0.7%,19,-7.8%,16,-11.0%,11,-9.4%,67,+8.3%,27,-3.6%,28,-2.7%
Andre Drummond,25.2,DET,Big,127,27,-2.5%,20,-7.6%,99,+37.9%,6,-17.7%,89,+10.7%,70,+8.9%,4,-13.3%,13,-5.9%
Kevin Durant,30.1,GSW,Forward,441,53,+1.4%,44,-0.2%,78,+7.4%,50,+2.5%,73,+5.1%,35,-2.7%,48,-0.1%,37,-0.7%
Wayne Ellington,30.9,DET,Wing,128,54,+1.6%,28,-5.0%,97,+24.4%,31,-4.5%,91,+11.9%,49,+1.3%,19,-5.7%,24,-3.5%
Joel Embiid,24.6,PHI,Big,334,84,+6.6%,97,+16.4%,71,+5.4%,9,-15.0%,34,-2.0%,53,+3.3%,58,+2.7%,63,+2.2%
James Ennis,28.3,PHI,Wing,224,33,-1.3%,53,+1.5%,24,-6.5%,32,-4.5%,22,-5.8%,22,-8.9%,68,+4.3%,50,+0.7%
Derrick Favors,27.3,UTA,Big,103,69,+4.0%,38,-1.6%,95,+21.9%,98,+28.7%,98,+21.1%,23,-8.3%,62,+3.4%,43,-0.2%
Bryn Forbes,25.3,SAS,Combo,207,45,+0.4%,12,-9.7%,56,+1.5%,61,+6.5%,60,+3.4%,43,0.0%,75,+6.4%,76,+5.0%
