Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Ray Allen,32.3,BOS,Wing,984,61,+5.6,+14,33,-2.8,37,-1.5%,75,-2.3%,23,-3.8%,10,-11.2,81,-8.5,73,-3.4%,53,+0.2%,47,+0.6%,95,-16.8
Rafer Alston,31.3,HOU,Point,125,41,-0.7,-2,39,-1.8,62,+2.2%,62,-0.8%,12,-6.6%,45,-1.3,52,-1.1,46,+0.9%,42,-0.6%,64,-2.4%,70,-4.5
Carmelo Anthony,23.4,DEN,Forward,146,19,-9.0,-15,5,-15.3,0,-14.2%,66,-1.2%,98,+13.2%,80,+7.4,74,-6.3,83,-4.8%,11,-4.4%,57,-0.9%,49,+0.7
Leandro Barbosa,24.9,PHX,Combo,137,10,-16.9,-42,35,-2.1,48,-0.2%,45,+0.3%,6,-8.4%,60,+2.6,5,+14.8,12,+4.9%,7,-5.3%,25,+4.8%,57,-1.8
Andrea Bargnani,22.0,TOR,Big,103,8,-19.8,-41,8,-12.5,19,-4.1%,21,+1.7%,71,+2.6%,24,-5.6,21,+7.3,4,+8.5%,79,+2.7%,3,+10.6%,92,-13.9
Brent Barry,35.8,SAS,Wing,190,70,+8.5,+21,85,+12.8,72,+3.2%,84,-3.2%,33,-1.7%,84,+8.5,31,+4.3,43,+1.3%,57,+0.4%,38,+2.3%,30,+4.7
Brandon Bass,22.5,DAL,Big,131,80,+12.2,+18,74,+8.0,69,+2.9%,29,+1.4%,79,+4.7%,75,+6.1,68,-4.2,39,+1.6%,82,+3.1%,68,-3.2%,43,+1.3
Shane Battier,29.1,HOU,Forward,245,69,+8.3,+21,93,+18.4,67,+2.7%,93,-5.3%,5,-8.7%,52,+0.5,11,+10.0,85,-6.1%,2,-9.2%,0,+23.6%,75,-6.1
Raja Bell,31.1,PHX,Wing,212,70,+8.4,+22,89,+16.0,93,+10.0%,57,-0.6%,67,+2.0%,27,-4.5,20,+7.6,6,+7.9%,28,-2.1%,85,-6.1%,52,+0.1
Mike Bibby,29.5,ATL,Point,250,89,+22.3,+16,84,+12.5,81,+4.8%,28,+1.5%,44,-0.7%,99,+15.0,88,-9.8,34,+2.3%,48,-0.3%,99,-16.0%,55,-1.0
Chauncey Billups,31.1,DET,Point,479,37,-2.2,-6,55,+1.6,70,+3.2%,26,+1.6%,45,-0.6%,34,-3.0,33,+3.8,63,-1.6%,10,-4.6%,43,+1.0%,28,+4.9
Keith Bogans,27.5,ORL,Wing,291,58,+4.0,+10,52,+1.3,20,-3.4%,88,-4.1%,30,-2.6%,100,+15.1,61,-2.7,81,-4.6%,21,-2.8%,80,-5.2%,18,+6.9
Carlos Boozer,25.9,UTA,Big,440,42,-0.5,-1,43,-1.5,60,+1.9%,37,+0.7%,11,-6.7%,65,+3.5,52,-1.0,44,+1.2%,12,-4.2%,79,-5.0%,84,-9.3
Chris Bosh,23.6,TOR,Big,198,1,-39.3,-63,7,-14.0,1,-9.4%,64,-0.9%,70,+2.4%,78,+6.6,1,+25.3,2,+11.7%,98,+6.1%,2,+13.0%,70,-4.8
Bruce Bowen,36.4,SAS,Wing,505,28,-5.0,-13,14,-8.7,12,-5.4%,60,-0.7%,41,-1.2%,41,-1.9,66,-3.7,70,-3.2%,46,-0.4%,25,+5.0%,84,-8.8
Ronnie Brewer,22.6,UTA,Wing,304,48,+1.4,+4,40,-1.6,56,+1.5%,63,-0.9%,43,-0.9%,2,-14.9,63,-3.0,18,+4.5%,45,-0.4%,88,-6.7%,98,-19.8
P.J. Brown,38.0,BOS,Big,329,7,-21.7,-50,10,-11.0,14,-5.0%,38,+0.7%,27,-3.1%,72,+5.4,9,+10.7,17,+4.5%,32,-1.7%,54,-0.3%,44,+1.3
Kobe Bryant,29.2,LAL,Wing,859,80,+12.4,+31,80,+10.1,27,-2.7%,100,-8.9%,19,-5.0%,95,+13.5,56,-2.3,54,-0.4%,69,+1.4%,55,-0.3%,31,+4.2
Caron Butler,27.6,WAS,Wing,245,90,+23.1,+29,34,-2.2,45,-0.5%,85,-3.5%,80,+5.1%,3,-14.7,100,-25.3,93,-9.4%,61,+0.6%,100,-16.0%,57,-1.8
Jose Calderon,26.1,TOR,Point,118,72,+9.2,+20,29,-3.4,57,+1.8%,25,+1.6%,36,-1.6%,19,-6.8,91,-12.6,93,-9.6%,1,-9.9%,96,-11.2%,6,+13.4
Marcus Camby,33.6,DEN,Big,123,9,-17.3,-28,18,-7.3,7,-6.9%,43,+0.3%,94,+8.0%,55,+1.3,11,+10.0,11,+5.5%,30,-1.8%,21,+5.6%,96,-16.9
Sam Cassell,38.0,BOS,Combo,259,55,+3.2,+7,48,+0.0,35,-1.8%,34,+0.8%,78,+4.5%,64,+3.5,65,-3.2,77,-3.9%,63,+0.8%,32,+3.4%,26,+5.0
Tyson Chandler,25.1,NOH,Big,409,97,+34.0,+63,94,+20.3,93,+9.0%,78,-2.6%,75,+4.1%,66,+3.8,95,-13.7,98,-12.7%,15,-4.0%,28,+4.6%,66,-3.7
Josh Childress,24.4,ATL,Wing,193,92,+25.6,+28,90,+17.3,85,+6.4%,95,-5.5%,84,+5.6%,26,-5.3,80,-8.3,76,-3.7%,88,+3.8%,39,+2.0%,76,-6.5
Samuel Dalembert,27.5,PHI,Big,192,12,-14.5,-31,17,-7.3,8,-6.3%,41,+0.5%,46,-0.3%,22,-6.2,24,+7.1,25,+3.5%,35,-1.3%,66,-3.0%,39,+2.0
Antonio Daniels,32.6,WAS,Point,151,66,+6.9,+16,61,+4.2,40,-1.4%,35,+0.8%,90,+7.1%,29,-4.3,60,-2.7,65,-2.2%,74,+1.8%,35,+2.8%,73,-5.4
Glen Davis,21.8,BOS,Big,112,15,-13.7,-34,49,+0.4,52,+1.0%,27,+1.5%,32,-1.9%,53,+0.8,6,+14.1,3,+9.3%,38,-1.1%,75,-4.6%,2,+16.4
Carlos Delfino,25.2,TOR,Wing,120,98,+38.1,+66,95,+21.6,95,+10.8%,68,-1.2%,63,+1.6%,61,+2.7,97,-16.5,96,-10.8%,8,-4.9%,97,-11.9%,48,+1.0
Boris Diaw,25.5,PHX,Big,174,82,+13.0,+31,80,+10.0,29,-2.6%,79,-2.9%,80,+5.0%,89,+10.3,64,-3.0,87,-6.8%,11,-4.4%,49,+0.4%,47,+1.0
Keyon Dooling,27.5,ORL,Combo,141,24,-7.4,-19,6,-14.7,6,-6.9%,67,-1.2%,7,-8.3%,76,+6.4,76,-7.3,82,-4.8%,70,+1.4%,50,+0.2%,42,+1.6
Tim Duncan,31.5,SAS,Big,662,33,-3.1,-9,68,+5.5,46,-0.4%,20,+1.9%,89,+6.7%,73,+5.6,16,+8.6,57,-0.6%,9,-4.8%,12,+7.3%,53,-0.1
Maurice Evans,29.0,ORL,Wing,277,40,-0.7,-2,25,-4.6,61,+2.1%,9,+3.6%,42,-0.9%,21,-6.2,67,-3.9,55,-0.5%,66,+0.9%,43,+1.2%,86,-9.9
Reggie Evans,27.5,PHI,Big,139,95,+30.5,+49,91,+17.4,87,+6.4%,90,-4.7%,49,-0.1%,98,+14.5,93,-13.1,91,-8.0%,68,+1.4%,51,+0.1%,43,+1.5
Jordan Farmar,20.9,LAL,Point,341,2,-27.8,-58,4,-16.9,21,-3.4%,4,+5.0%,39,-1.3%,5,-13.2,8,+10.8,11,+5.2%,20,-3.1%,74,-4.1%,38,+2.4
Michael Finley,34.7,SAS,Forward,373,45,+0.5,+1,76,+8.5,75,+3.9%,52,-0.3%,55,+0.8%,42,-1.8,18,+7.9,25,+3.5%,25,-2.4%,39,+2.1%,63,-3.3
Derek Fisher,33.2,LAL,Point,663,91,+24.6,+53,88,+15.3,70,+3.1%,89,-4.7%,47,-0.3%,97,+14.3,85,-9.3,78,-4.0%,93,+4.3%,16,+6.2%,64,-3.3
T.J. Ford,24.6,TOR,Point,124,11,-16.1,-35,53,+1.5,22,-3.2%,69,-1.7%,66,+1.8%,74,+5.7,3,+17.6,0,+12.1%,100,+8.7%,9,+8.9%,74,-6.0
Kevin Garnett,31.5,BOS,Big,984,88,+20.9,+49,79,+9.1,80,+4.7%,65,-1.0%,37,-1.5%,28,-4.3,89,-11.8,80,-4.4%,72,+1.5%,71,-3.8%,83,-8.1
Pau Gasol,27.3,LAL,Big,834,85,+18.0,+41,87,+15.3,65,+2.5%,98,-6.4%,54,+0.8%,71,+5.3,59,-2.7,68,-2.9%,61,+0.6%,48,+0.5%,23,+5.9
Daniel Gibson,21.7,CLE,Combo,276,66,+7.2,+18,81,+10.7,64,+2.3%,86,-3.7%,77,+4.4%,80,+6.9,34,+3.5,39,+1.6%,34,-1.3%,59,-1.3%,35,+3.0
Manu Ginobili,30.3,SAS,Wing,554,43,-0.3,-1,46,-1.0,43,-0.7%,13,+3.0%,73,+3.1%,61,+2.8,49,-0.7,52,-0.1%,66,+1.2%,75,-4.3%,10,+10.7
Willie Green,26.3,PHI,Wing,141,11,-15.8,-28,20,-6.6,31,-2.3%,7,+3.9%,56,+0.8%,7,-11.6,14,+9.2,9,+5.7%,47,-0.3%,11,+7.6%,87,-10.1
Richard Hamilton,29.7,DET,Wing,648,75,+10.1,+26,69,+5.7,74,+3.4%,76,-2.3%,38,-1.3%,68,+4.6,69,-4.4,37,+1.9%,60,+0.6%,63,-2.1%,62,-3.1
Matt Harpring,31.4,UTA,Wing,208,30,-4.7,-12,37,-2.0,23,-3.0%,31,+1.2%,75,+4.0%,70,+5.2,37,+2.7,36,+2.2%,84,+3.2%,6,+9.5%,50,+0.5
Chuck Hayes,24.4,HOU,Big,103,18,-9.1,-23,9,-11.8,3,-8.0%,25,+1.6%,48,-0.3%,93,+12.5,57,-2.7,66,-2.5%,73,+1.5%,40,+1.9%,20,+6.6
Brendan Haywood,27.9,WAS,Big,178,64,+5.8,+13,48,-0.2,16,-4.3%,59,-0.7%,52,+0.5%,79,+6.8,73,-6.1,31,+2.5%,62,+0.8%,93,-9.0%,90,-13.6
Al Horford,21.4,ATL,Big,265,5,-22.5,-44,0,-21.0,34,-2.0%,10,+3.4%,17,-5.7%,0,-29.9,43,+1.5,7,+6.7%,43,-0.5%,89,-7.6%,93,-14.7
Robert Horry,37.2,SAS,Big,137,57,+3.5,+10,41,-1.6,26,-2.8%,70,-1.7%,58,+0.9%,63,+3.0,70,-5.1,62,-1.5%,65,+0.9%,77,-4.8%,25,+5.2
Eddie House,29.5,BOS,Combo,136,76,+10.5,+17,82,+11.2,84,+6.2%,84,-3.4%,25,-3.1%,77,+6.4,45,+0.7,75,-3.7%,5,-5.4%,58,-1.2%,5,+14.8
Dwight Howard,21.9,ORL,Big,421,89,+21.8,+43,83,+12.1,76,+3.9%,0,+6.9%,100,+17.7%,46,-1.2,87,-9.7,95,-10.3%,20,-3.0%,14,+6.4%,11,+9.1
Josh Howard,27.5,DAL,Wing,170,59,+4.2,+3,2,-18.6,2,-8.5%,61,-0.7%,2,-12.4%,31,-3.6,98,-22.8,99,-13.0%,2,-6.4%,94,-9.7%,94,-16.6
Lindsey Hunter,36.9,DET,Point,115,77,+10.5,+23,57,+2.5,50,+0.5%,81,-3.1%,16,-5.9%,59,+2.6,79,-8.0,61,-1.2%,97,+6.0%,31,+3.7%,79,-7.2
Andre Iguodala,23.8,PHI,Wing,228,7,-19.9,-47,16,-8.3,78,+4.2%,75,-2.2%,2,-12.0%,2,-18.0,7,+11.7,59,-0.8%,13,-4.1%,18,+5.9%,68,-4.2
Zydrunas Ilgauskas,32.4,CLE,Big,392,44,+0.1,+1,30,-3.3,53,+1.1%,39,+0.6%,35,-1.6%,4,-14.2,66,-3.4,38,+1.8%,56,+0.3%,56,-0.6%,99,-20.2
Allen Iverson,32.4,DEN,Combo,157,65,+6.3,+7,66,+5.3,80,+4.5%,14,+2.8%,57,+0.9%,57,+2.5,51,-1.0,90,-7.5%,92,+4.2%,1,+18.9%,15,+8.6
Bobby Jackson,34.6,HOU,Combo,137,43,-0.1,-1,23,-6.1,11,-5.7%,66,-1.1%,62,+1.6%,39,-2.2,72,-6.0,53,-0.4%,90,+4.0%,57,-1.2%,30,+4.8
LeBron James,22.8,CLE,Forward,550,99,+40.8,+57,98,+25.8,94,+10.3%,99,-8.0%,66,+1.8%,32,-3.5,96,-15.0,94,-9.8%,22,-2.7%,70,-3.6%,46,+1.2
Antawn Jamison,31.4,WAS,Forward,236,0,-49.7,-67,19,-7.0,15,-4.6%,16,+2.2%,82,+5.5%,47,-1.1,0,+42.8,7,+6.5%,0,-23.0%,93,-9.6%,8,+11.1
Joe Johnson,26.3,ATL,Wing,274,38,-1.7,-2,39,-1.7,61,+2.1%,3,+5.0%,68,+2.3%,25,-5.5,47,-0.0,22,+3.7%,50,-0.1%,91,-8.0%,91,-13.8
Jason Kapono,26.7,TOR,Forward,151,93,+27.0,+49,86,+14.1,92,+8.4%,71,-1.8%,13,-6.5%,54,+1.3,92,-12.9,97,-11.0%,18,-3.2%,92,-9.0%,2,+17.6
Jason Kidd,34.6,DAL,Point,179,96,+31.9,+28,93,+19.9,96,+11.3%,94,-5.4%,57,+0.9%,36,-2.8,90,-12.0,74,-3.4%,83,+3.2%,66,-2.7%,51,+0.4
Andrei Kirilenko,26.7,UTA,Wing,386,68,+8.1,+21,70,+5.7,83,+6.0%,58,-0.6%,16,-5.9%,37,-2.2,57,-2.4,71,-3.2%,14,-4.0%,87,-6.4%,54,-0.3
Linas Kleiza,22.8,DEN,Wing,119,60,+4.6,+6,62,+4.5,30,-2.6%,93,-5.1%,81,+5.5%,67,+4.4,48,-0.1,67,-2.9%,7,-5.3%,98,-13.0%,37,+2.8
Kyle Korver,26.6,UTA,Wing,258,46,+0.8,+2,50,+0.5,25,-2.8%,70,-1.7%,51,+0.4%,94,+12.8,48,-0.3,88,-6.8%,41,-0.6%,22,+5.6%,0,+19.6
Carl Landry,24.1,HOU,Big,103,61,+5.5,+14,16,-7.5,13,-5.3%,33,+1.1%,43,-0.8%,90,+11.3,93,-13.0,86,-6.4%,85,+3.4%,98,-13.1%,3,+16.0
Rashard Lewis,28.2,ORL,Big,415,87,+20.1,+42,92,+18.0,84,+6.1%,83,-3.2%,93,+7.7%,43,-1.6,54,-2.0,28,+2.9%,81,+3.0%,33,+3.2%,52,+0.1
Kenyon Martin,29.8,DEN,Big,117,52,+2.7,+2,22,-6.3,18,-4.2%,30,+1.2%,98,+10.8%,9,-11.4,84,-9.0,100,-14.2%,43,-0.5%,2,+15.6%,41,+1.8
Roger Mason Jr.,27.1,WAS,Combo,114,39,-1.1,-1,75,+8.4,90,+7.5%,92,-5.0%,0,-14.6%,69,+4.9,13,+9.5,20,+4.0%,75,+1.9%,5,+9.7%,67,-3.9
Jason Maxiell,24.7,DET,Big,353,79,+11.4,+28,59,+2.9,82,+4.8%,53,-0.4%,21,-4.8%,49,-0.5,82,-8.5,89,-7.0%,84,+3.3%,27,+4.6%,12,+8.9
Antonio McDyess,33.1,DET,Big,467,51,+2.1,+5,51,+0.7,48,+0.1%,11,+3.1%,91,+7.4%,16,-7.4,53,-1.3,34,+2.3%,57,+0.3%,69,-3.3%,80,-7.5
Tracy McGrady,28.4,HOU,Wing,247,98,+36.6,+43,100,+35.9,100,+18.8%,73,-2.2%,95,+8.9%,57,+1.8,50,-0.7,40,+1.6%,95,+5.8%,7,+9.5%,61,-2.9
Andre Miller,31.6,PHI,Combo,228,14,-14.2,-33,15,-8.5,75,+3.6%,6,+4.7%,1,-13.7%,38,-2.2,26,+5.7,26,+2.9%,16,-3.9%,18,+5.9%,93,-15.6
Paul Millsap,22.7,UTA,Big,205,23,-7.9,-20,30,-3.3,10,-5.7%,51,-0.2%,93,+7.6%,52,+0.3,30,+4.6,42,+1.4%,91,+4.0%,24,+5.3%,21,+6.2
Jamario Moon,27.4,TOR,Forward,103,22,-8.1,-19,3,-17.0,4,-7.3%,49,-0.1%,59,+1.0%,6,-12.7,84,-8.9,49,+0.6%,98,+6.4%,16,+6.3%,89,-12.6
